time_slots,overall_evaluation,name,semester,expected_participants,lecturers,maximum_participants,replies,line_code,minimum_participants,job_evaluation,language,ects_points,line_of_studies,programme,time_evaluation
"[{'room': '2A54', 'day': 'Torsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '2A54', 'day': 'Torsdag', 'time_slot': '19.00-20.50', 'type': 'Forelæsning'}]",5.38,Project Cluster: Introductory Academic Project,Forår 2012,20,['Anker Helms Jørgensen'],40,0.43333333333333335,MSOK,10,4.08,Dansk,750,Master i it softwarekonstruktion (sok),MSOK,3.31
"[{'room': '3A18', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '3A18', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",3.5,Project Cluster: Marketing and Game Journalism (Formerly Games and Journalism),Forår 2012,15,['Thomas Vigild Hansen'],20,0.4444444444444444,KGAMES,0,4.0,Engelsk,750,cand.it. spil (games),KGAMES,2.25
"[{'room': '2A52 (3A50, 3A52)', 'day': 'Tirsdag', 'time_slot': '17.00-18.50', 'type': 'Øvelser'}, {'room': '2A52 (3A50, 3A52)', 'day': 'Tirsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.33,Project Cluster: Programming Workshop,Forår 2012,35,"['Jacob Avlund', 'Signe Kyster']",40,0.2727272727272727,KSDT,12,4.62,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.08
"[{'room': '3A18', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '3A18', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.0,Qualitative Methods,Forår 2012,12,['Tina Lynn Taylor'],30,0.6666666666666666,KGAMES,12,3.75,Engelsk,750,cand.it. spil (games),KGAMES,3.5
"[{'room': 'Aud 4', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 4', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",3.57,SF23 Perspectives on e-business,Forår 2012,25,"['Ulrik Vilhelm Falktoft', 'Leif Bloch Rasmussen']",60,0.3684210526315789,KEBUSS,15,3.21,Dansk,750,cand.it. e-business (ebuss),KEBUSS,2.86
"[{'room': '2A18', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A18', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",5.6,Situational Methods for Digital Studies,Forår 2012,20,['Brit Ross Winthereik'],25,0.625,KDDK,12,4.6,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,4.2
"[{'room': 'Aud 2, DesignLab', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 2, DesignLab', 'day': 'Fredag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.52,Sketching and Prototyping,Forår 2012,76,"['Tomas Sokoler', 'Mogens Jacobsen']",90,0.42857142857142855,BDMD,0,4.36,Dansk,750,Bachelor i digitale medier og design (bdmd),BDMD,2.76
"[{'room': '4A16', 'day': 'Tirsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Tirsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.0,Strategic Value Creation through Projects,Forår 2012,12,['Kim Peiter Jørgensen'],30,0.2727272727272727,MORI,12,4.67,Dansk,750,Master i it organisation og implementering (ori),MORI,2.67
"[{'room': '3A12/14', 'day': 'Fredag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '3A12/14', 'day': 'Fredag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.43,T1 Introduction to programming and distributed systems,Forår 2012,35,['Inge-Lise Salomon'],80,0.19444444444444445,KEBUSS,20,3.57,Dansk,750,cand.it. e-business (ebuss),KEBUSS,4.43
"[{'room': 'Aud 3', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': 'Aud 3', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",3.42,T17 Social Media Analytics,Forår 2012,25,['Ravi K. Vatrapu'],80,0.375,KEBUSS,25,5.17,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.71
"[{'room': '4A14', 'day': 'Fredag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A54, 4A56', 'day': 'Fredag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.62,T6 IT-Security,Forår 2012,25,['Freddie Drewsen'],40,0.5714285714285714,KEBUSS,20,4.62,Dansk,750,cand.it. e-business (ebuss),KEBUSS,3.25
"[{'room': '2A52', 'day': 'Torsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A52', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.6,T8 Enterprise Architecture,Forår 2012,20,"['Matthias Trier', 'Morten Nikolaj Sidoroff Gryning']",50,0.4166666666666667,KEBUSS,20,4.47,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.4
"[{'room': '2A18', 'day': 'Mandag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '2A18', 'day': 'Mandag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",5.5,Target Group Analysis,Forår 2012,20,['Paul Metelmann'],25,0.8,MINM,12,5.75,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,3.5
"[{'room': '4A16', 'day': 'Torsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Torsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",5.36,Usability,Forår 2012,20,['Ole Gregersen'],40,0.45161290322580644,MINM,12,5.31,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,3.25
