time_slots,overall_evaluation,name,semester,expected_participants,lecturers,maximum_participants,replies,line_code,minimum_participants,job_evaluation,language,ects_points,line_of_studies,programme,time_evaluation
"[{'room': '4A16', 'day': 'Mandag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Mandag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",3.29,Advanced IT Project Management,Efterår 2011,30,"['Jan Pries-Heje', 'Lene Pries-Heje']",34,0.4117647058823529,MORI,0,3.57,Dansk,750,Master i it organisation og implementering (ori),MORI,3.0
"[{'room': '4A14', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}, {'room': '2A54', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '2A54', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",4.82,Algorithm Design,Efterår 2011,20,['Thore Husfeldt'],40,0.3793103448275862,KSDT,12,4.91,Engelsk,1500,cand.it. softwareudvikling og -teknologi (sdt),KSDT,3.0
"[{'room': 'Aud 4', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 4', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.48,B1 Strategic and tactical tools for e-business,Efterår 2011,30,['Kim Normann Andersen'],77,0.39622641509433965,KEBUSS,20,5.14,Dansk,750,cand.it. e-business (ebuss),KEBUSS,3.68
"[{'room': '4A14', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.4,B19 IT-Strategy,Efterår 2011,25,['Stefan Henningsson'],70,0.4807692307692308,KEBUSS,15,5.28,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.8
"[{'room': '4A14', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.95,B31 The Internet as A Battlefield - Competing With Digital Goods and Services,Efterår 2011,35,['Stefan Henningsson'],70,0.4772727272727273,KEBUSS,25,4.71,Engelsk,750,cand.it. e-business (ebuss),KEBUSS,3.15
"[{'room': '4A14', 'day': 'Onsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A14, 4A54, 4A58', 'day': 'Onsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",5.47,Basic Graphic Design - group 1,Efterår 2011,30,['Klaus Bjerager'],40,0.4166666666666667,MINM,12,5.0,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,4.67
"[{'room': '4A16', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A16, 4A54, 4A56', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",5.27,Basic Graphic Design - group 2,Efterår 2011,30,['Ian Wisler-Poulsen'],30,0.5172413793103449,KDDK,15,5.64,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,4.4
"[{'room': '2A52', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A52', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.22,Building Database Systems,Efterår 2011,45,['Philippe Bonnet'],65,0.32142857142857145,KSDT,12,3.89,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.0
"[{'room': 'Aud 5 (3A12/14)', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 5 (3A12/14)', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",5.62,Business Foundations,Efterår 2011,40,['Bent Steenholt Kragelund'],60,0.3333333333333333,BGBI,12,5.62,Engelsk,750,Bachelor i global virksomhedsinformatik (bgbi),BGBI,3.25
"[{'room': 'Aud 3', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A20, 2A18', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': 'DesignLab', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14, 2A14', 'day': 'Fredag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.57,Co-design - Understanding and Involving users,Efterår 2011,70,"['Lene Nielsen', 'Sara Marie Ertner', 'Jonas Waaben']",76,0.31343283582089554,BDMD,12,4.81,Engelsk,1500,Bachelor i digitale medier og design (bdmd),BDMD,3.3
"[{'room': '2A20', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '4A22', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A22', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}]",5.75,Computer Games Culture,Efterår 2011,20,['Tina Lynn Taylor'],25,0.5714285714285714,KMTG,12,5.12,Engelsk,1500,cand.it. medieteknologi og spil (mtg),KMTG,4.0
"[{'room': '2A20', 'day': 'Mandag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Mandag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",3.75,Concept Development and Interactive Digital Media,Efterår 2011,20,['Villads Keiding'],25,0.3076923076923077,MINM,12,5.0,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,2.0
"[{'room': '4A20', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': '4A20', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",4.2,Design of User Interfaces and Data,Efterår 2011,15,['Flemming Hedegaard'],25,0.29411764705882354,MSOK,12,4.4,Dansk,750,Master i it softwarekonstruktion (sok),MSOK,2.8
"[{'room': 'DesignLab', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.05,Digital Aesthetics,Efterår 2011,60,"['Susana Pajares Tosca', 'Kjell Yngve Petersen', 'Hanne-Louise Johannesen']",80,0.30434782608695654,BDMD,12,3.43,Engelsk,750,Bachelor i digitale medier og design (bdmd),BDMD,3.05
"[{'room': '4A22', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A22', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}]",6.0,Digital Culture and Society,Efterår 2011,25,['Stine Gotved'],25,0.4666666666666667,KDDK,12,5.86,Dansk,1500,cand.it. digital design og kommunikation (ddk),KDDK,3.29
"[{'room': 'Aud 3', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A56, 4A54, 3A12/14 (med egne computere)', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",5.08,Digital Rhetorics,Efterår 2011,70,['Torill Mortensen'],77,0.3333333333333333,KDDK,12,5.12,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.48
"[{'room': 'DesignLab', 'day': 'Torsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '3A18', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",4.57,Digtal Aesthetics: Theory and Practice,Efterår 2011,10,"['Susana Pajares Tosca', 'Kjell Yngve Petersen', 'Hanne-Louise Johannesen']",30,0.35,KDDK,4,4.0,Dansk,1500,cand.it. digital design og kommunikation (ddk),KDDK,2.33
"[{'room': 'Aud 5 (3A12/14)', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 5 (3A12/14) 2A18, 2A20, 3A18', 'day': 'Tirsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",3.2,Distributed Collaboration and Development,Efterår 2011,60,['Pernille Bjørn'],110,0.410958904109589,KSDT,12,3.5,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,3.33
"[{'room': 'DesignLab', 'day': 'Tirsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '3A50, 3A52', 'day': 'Tirsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.93,Dynamic Web Design,Efterår 2011,25,['Tess Gaston Løvgreen'],70,0.35714285714285715,MINM,12,5.14,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,3.57
"[{'room': '2A20', 'day': 'Lørdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Lørdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Lørdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Lørdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}]",5.75,Enterprise Systems,Efterår 2011,20,"['Carsten Levin', 'Claus Seeberg Friis']",25,0.4444444444444444,MORI,12,5.5,Dansk,750,Master i it organisation og implementering (ori),MORI,3.5
"[{'room': '4A16', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '4A14', 'day': 'Fredag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",3.92,Enterprise Systems & Information Management,Efterår 2011,40,"['Anne Hatting', 'Lene Pries-Heje']",60,0.35135135135135137,BGBI,12,4.92,Engelsk,1500,Bachelor i global virksomhedsinformatik (bgbi),BGBI,3.36
"[{'room': '4A16', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A58', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",3.6,Experimental Design and Analysis,Efterår 2011,15,['Klaus Svarre Christensen'],30,0.5555555555555556,KDDK,12,4.4,Dansk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.1
"[{'room': 'DesignLab', 'day': 'Fredag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Fredag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",5.67,Experimental Interaction,Efterår 2011,20,['Pippin Barr'],30,0.46153846153846156,KMTG,12,5.17,Engelsk,750,cand.it. medieteknologi og spil (mtg),KMTG,4.17
"[{'room': '4A16', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.0,Foundations of Computing - Algorithms and Data Structures,Efterår 2011,35,['Rasmus Pagh'],40,0.375,KSDT,12,5.11,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.33
"[{'room': 'Aud 3', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 3, 2A14', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",4.39,Foundations of Computing - Discrete Mathematics,Efterår 2011,45,['Carsten Schürmann'],70,0.5849056603773585,KSDT,12,4.23,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,3.84
"[{'room': 'Aud 3 (GameLab available)', 'day': 'Tirsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': 'GameLab+ 4E wing', 'day': 'Tirsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}, {'room': 'Aud 2 (GameLab available)', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'GameLab+ 4E wing', 'day': 'Fredag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.62,Foundations of Play and Games,Efterår 2011,50,"['Espen Aarseth', 'Sebastian Martin Möring']",80,0.46153846153846156,KMTG,12,4.33,Engelsk,1500,cand.it. medieteknologi og spil (mtg),KMTG,3.54
"[{'room': '2A20', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Onsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",6.0,From Concept Art to In-Game Graphics,Efterår 2011,20,['Anders Antoft'],25,0.5714285714285714,KMTG,12,5.5,Engelsk,750,cand.it. medieteknologi og spil (mtg),KMTG,4.0
"[{'room': 'Aud 2 (GameLab available)', 'day': 'Mandag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 2 (GameLab available)', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': 'Aud 2 (GameLab available)', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 2 (GameLab available)', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",5.61,Game Design,Efterår 2011,41,['Miguel Angel Sicart'],80,0.41333333333333333,KMTG,15,5.26,Engelsk,1500,cand.it. medieteknologi og spil (mtg),KMTG,4.07
"[{'room': 'GameLab +4E wing', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': 'GameLab +4E wing', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}, {'room': 'GameLab +4E wing', 'day': 'Torsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': 'GameLab +4E wing', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}]",4.0,Game Engines,Efterår 2011,25,"['Corrado Grappiolo', 'Mark Nelson']",36,0.4166666666666667,KMTG,12,5.1,Engelsk,1500,cand.it. medieteknologi og spil (mtg),KMTG,4.8
"[{'room': 'GameLab', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'GameLab', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",3.85,Gameworlds as Fields for Expression,Efterår 2011,20,['Alessandro Canossa'],36,0.4642857142857143,KMTG,12,4.54,Engelsk,750,cand.it. medieteknologi og spil (mtg),KMTG,3.0
"[{'room': 'Aud 1', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Tirsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}, {'room': 'Aud 1', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Fredag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.78,Interaction Design,Efterår 2011,69,"['Aaron Russell Mullane', 'Clint Heyer']",69,0.3333333333333333,KDDK,12,4.17,Engelsk,1500,cand.it. digital design og kommunikation (ddk),KDDK,4.04
"[{'room': 'GameLab', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'GameLab', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}]",5.55,Interactive Multimedia,Efterår 2011,36,['Søren Vibjerg'],40,0.3235294117647059,KDDK,12,4.82,Engelsk,750,cand.it. digital design og kommunikation (ddk),KDDK,3.9
"[{'room': 'GameLab', 'day': 'Onsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': 'GameLab', 'day': 'Onsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",3.17,Interactive Multimedia,Efterår 2011,36,['Benny Robert Jørgensen'],40,0.3157894736842105,MINM,12,4.5,Engelsk,750,Master i it interaktionsdesign og multimedier (inm),MINM,2.83
"[{'room': 'Aud 2', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '3A50, 3A52 (2A14 with own computer)', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '3A52 (2A14 with own computer)', 'day': 'Tirsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}]",5.0,Introduction to Database Design,Efterår 2011,20,['Rasmus Pagh'],30,0.38095238095238093,KSDT,12,4.62,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.0
"[{'room': 'Aud 4', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'DesignLab', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",5.2,Introduction to Interaction Design,Efterår 2011,80,"['Lone Malmborg', 'Mogens Jacobsen']",80,0.6179775280898876,BDMD,60,4.79,Dansk,750,Bachelor i digitale medier og design (bdmd),BDMD,3.78
"[{'room': 'Aud 2', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A18, 2A20, 2A54, (Aud 2 tilgængeligt)', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.34,Introduction to Media and Communication,Efterår 2011,60,['Bjarki Valtysson'],80,0.5888888888888889,BDMD,40,4.83,Dansk,750,Bachelor i digitale medier og design (bdmd),BDMD,3.45
"[{'room': 'GameLab', 'day': 'Mandag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': 'GameLab', 'day': 'Mandag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",5.11,Introductory 3D,Efterår 2011,35,['Rickard Stampe Söderström'],35,0.5294117647058824,KDDK,12,4.25,Engelsk,750,cand.it. digital design og kommunikation (ddk),KDDK,4.62
"[{'room': '3A50, 3A52', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}, {'room': 'Aud 3', 'day': 'Mandag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '3A50, 3A52', 'day': 'Mandag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.96,Introductory Programming,Efterår 2011,40,['Jacob Avlund'],70,0.5348837209302325,KSDT,12,5.13,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.04
"[{'room': 'Aud 3', 'day': 'Fredag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '3A52, 2A52 (with own computer)', 'day': 'Fredag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.16,IT Foundations,Efterår 2011,60,['Jesper Larsson'],60,0.6551724137931034,BGBI,60,4.41,Engelsk,750,Bachelor i global virksomhedsinformatik (bgbi),BGBI,3.78
"[{'room': '4A16', 'day': 'Lørdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Lørdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': '4A16', 'day': 'Lørdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}]",5.06,IT Project Management,Efterår 2011,32,"['Peter Looms', 'Claus Seeberg Friis']",50,0.6666666666666666,MORI,12,5.27,Dansk,750,Master i it organisation og implementering (ori),MORI,3.53
"[{'room': '4A20', 'day': 'Tirsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A20', 'day': 'Tirsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.6,IT Project Management and Software Products,Efterår 2011,20,['Claus Seeberg Friis'],25,0.2631578947368421,MORI,12,5.6,Dansk,750,Master i it organisation og implementering (ori),MORI,3.4
"[{'room': '2A54', 'day': 'Onsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '2A54', 'day': 'Onsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",4.14,Learning and IT,Efterår 2011,20,"['Steffen Lofvall', 'Claus Witfelt']",40,0.4666666666666667,MINM,12,5.57,Dansk,750,Master i it interaktionsdesign og multimedier (inm),MINM,3.0
"[{'room': 'Aud 2', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 2', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.14,Media and Communication,Efterår 2011,69,['Irina Shklovski'],69,0.3,KDDK,12,3.48,Engelsk,750,cand.it. digital design og kommunikation (ddk),KDDK,4.05
"[{'room': 'Aud 5 (3A12/14)', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 5 (3A12/14) og 3A50, 3A52, 4A58', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': '3A50, 3A52, 4A58', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Forelæsning'}]",4.4,Mobile and Distributed Systems,Efterår 2011,40,"['Thomas Hildebrandt', 'Sofiane Gueddana']",80,0.47619047619047616,KSDT,12,5.1,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.0
"[{'room': 'Aud 4', 'day': 'Mandag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 4', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",3.91,Mobile Media and Social IT,Efterår 2011,60,['John Willy Bakke'],80,0.3013698630136986,BDMD,12,4.18,Engelsk,750,Bachelor i digitale medier og design (bdmd),BDMD,2.45
"[{'room': '2A14 (4A54, 4A56)', 'day': 'Tirsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': '2A14 (4A54, 4A56)', 'day': 'Tirsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}, {'room': 'Aud 4 (4A54, 4A56)', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': 'Aud 4 (4A54, 4A56)', 'day': 'Torsdag', 'time_slot': '16.00-17.50', 'type': 'Øvelser'}]",5.17,Modern AI for Games,Efterår 2011,20,"['Georgios Yannakakis', 'Héctor Pérez Martínez', 'Antonios Liapis']",35,0.3,KMTG,12,5.0,Engelsk,1500,cand.it. medieteknologi og spil (mtg),KMTG,3.33
"[{'room': '2A12', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A12', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",4.82,New Media and Communication,Efterår 2011,60,"['Lea Schick', 'Lærke Ullerup']",60,0.6785714285714286,BGBI,60,4.75,Engelsk,750,Bachelor i global virksomhedsinformatik (bgbi),BGBI,3.41
"[{'room': 'GameLab (4A14 available)', 'day': 'Lørdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}, {'room': 'GameLab (4A14 available)', 'day': 'Lørdag', 'time_slot': '12.00-13.50', 'type': 'Øvelser'}, {'room': 'GameLab (4A14 available)', 'day': 'Lørdag', 'time_slot': '14.00-15.50', 'type': 'Forelæsning'}, {'room': 'GameLab (4A14 available)', 'day': 'Lørdag', 'time_slot': '16.00-17.50', 'type': 'Forelæsning'}, {'room': 'GameLab (4A14 available)', 'day': 'Lørdag', 'time_slot': '18.00-19.50', 'type': 'Øvelser'}]",5.43,Object Oriented Programming,Efterår 2011,30,['Andrea Corradini'],37,0.23333333333333334,MSOK,12,5.86,Engelsk,750,Master i it softwarekonstruktion (sok),MSOK,3.71
"[{'room': 'Aud 3', 'day': 'Mandag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': 'Aud 3', 'day': 'Mandag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",3.93,Organization & Process Theory,Efterår 2011,40,['Christopher Gad'],60,0.358974358974359,BGBI,12,4.69,Engelsk,750,Bachelor i global virksomhedsinformatik (bgbi),BGBI,3.58
"[{'room': 'Aud 4', 'day': 'Tirsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': 'Aud 4', 'day': 'Tirsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.85,P1 National Internet Law,Efterår 2011,30,['Jan Trzaskowski'],77,0.4406779661016949,KEBUSS,20,4.56,Dansk,750,cand.it. e-business (ebuss),KEBUSS,3.19
"[{'room': '2A14', 'day': 'Onsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '2A14', 'day': 'Onsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.11,Procedural Content Generation in Games,Efterår 2011,20,"['Julian Togelius', 'Noor Shaker', 'Antonios Liapis']",30,0.5294117647058824,KMTG,12,4.89,Engelsk,750,cand.it. medieteknologi og spil (mtg),KMTG,3.33
"[{'room': '4A14', 'day': 'Torsdag', 'time_slot': '12.00-13.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Torsdag', 'time_slot': '14.00-15.50', 'type': 'Øvelser'}]",5.67,Programming Language Concepts and Implementation,Efterår 2011,35,['Rasmus Ejlers Møgelberg'],40,0.2,KSDT,12,5.33,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,5.33
"[{'room': '3A18', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '3A18', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}]",4.0,Programming Language Seminar,Efterår 2011,20,"['Thomas Hildebrandt', 'Peter Sestoft', 'Søren Debois']",25,0.1111111111111111,KSDT,12,4.0,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.0
"[{'room': '2A20', 'day': 'Mandag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Øvelser'}, {'room': '2A20', 'day': 'Onsdag', 'time_slot': '08.00-09.50', 'type': 'Forelæsning'}, {'room': '2A20', 'day': 'Onsdag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",5.0,Project Cluster: Global Software Development,Efterår 2011,15,['Joseph Kiniry'],25,0.5555555555555556,KSDT,7,5.2,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.4
"[{'room': '4A14', 'day': 'Torsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': '4A14', 'day': 'Torsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",5.45,Project Cluster: Introductory Academic Project,Efterår 2011,20,['Anker Helms Jørgensen'],40,0.55,MSOK,10,4.91,Dansk,750,Master i it softwarekonstruktion (sok),MSOK,3.27
"[{'room': 'Aud 2', 'day': 'Tirsdag', 'time_slot': '17.00-18.50', 'type': 'Forelæsning'}, {'room': 'Aud 2', 'day': 'Tirsdag', 'time_slot': '19.00-20.50', 'type': 'Øvelser'}]",2.8,Project cluster: Model Driven Development,Efterår 2011,55,['Andrzej Wasowski'],100,0.35714285714285715,KSDT,0,2.16,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.76
"[{'room': '3A50, 3A52', 'day': 'Mandag', 'time_slot': '10.00-11.50', 'type': 'Forelæsning'}]",4.63,Project Cluster: Programming Workshop,Efterår 2011,35,"['Jacob Avlund', 'Louis-Marie Traonouez']",40,0.6333333333333333,KSDT,12,4.83,Engelsk,750,cand.it. softwareudvikling og -teknologi (sdt),KSDT,4.22
