Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KSWU;Design of user interfaces and data;32 of 54;59;4.84;32 of 54;59;5.16;32 of 54;59;4.91;32 of 54;59;5.44;32 of 54;59;3.09;32 of 54;59;3.59;32 of 54;59;3.53;32 of 54;59;3.41;32 of 54;59;5.34;32 of 54;59;2.97;32 of 54;59;2.91
KSWU;IT-project management;16 of 45;35;5.00;16 of 45;35;4.62;16 of 45;35;5.38;16 of 45;35;4.56;16 of 45;35;3.50;16 of 45;35;3.81;16 of 45;35;3.38;16 of 45;35;4.25;16 of 45;35;5.25;16 of 45;35;3.88;16 of 45;35;3.38
KSWU;IT: Platforms and Organization;18 of 28;64;5.33;18 of 28;64;4.94;18 of 28;64;5.00;18 of 28;64;4.83;18 of 28;64;3.44;18 of 28;64;4.33;18 of 28;64;3.11;18 of 28;64;4.67;18 of 28;64;5.17;18 of 28;64;2.67;18 of 28;64;2.11
KSWU;Introduction to algorithms and data structures;16 of 32;50;5.25;16 of 32;50;5.19;16 of 32;50;5.31;16 of 32;50;3.44;16 of 32;50;4.25;16 of 32;50;5.50;16 of 32;50;2.38;16 of 32;50;4.25;16 of 32;50;4.81;16 of 32;50;4.38;16 of 32;50;3.81
KSWU;Introductory programming;43 of 83;51;5.53;43 of 83;51;5.70;43 of 83;51;5.21;43 of 83;51;5.33;43 of 83;51;3.44;43 of 83;51;4.84;43 of 83;51;2.40;43 of 83;51;3.86;43 of 83;51;4.23;43 of 83;51;4.19;43 of 83;51;3.44
KSWU;Object-oriented programming;38 of 69;55;5.50;38 of 69;55;5.37;38 of 69;55;5.13;38 of 69;55;4.45;38 of 69;55;4.18;38 of 69;55;4.89;38 of 69;55;3.03;38 of 69;55;4.87;38 of 69;55;5.26;38 of 69;55;3.68;38 of 69;55;3.13
KSWU;Performance engineering;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KSWU;Programming languages: interpreters and compilers;3 of 7;42;5.33;3 of 7;42;5.33;3 of 7;42;3.67;3 of 7;42;5.00;3 of 7;42;2.00;3 of 7;42;5.33;3 of 7;42;2.00;3 of 7;42;4.00;3 of 7;42;4.00;3 of 7;42;3.67;3 of 7;42;3.33
KSWU;System engineering;14 of 24;58;3.50;14 of 24;58;3.79;14 of 24;58;5.29;14 of 24;58;4.14;14 of 24;58;4.57;14 of 24;58;3.14;14 of 24;58;4.00;14 of 24;58;2.71;14 of 24;58;5.43;14 of 24;58;3.29;14 of 24;58;2.79
KTIT;Databases;8 of 21;38;4.12;8 of 21;38;4.25;8 of 21;38;4.62;8 of 21;38;3.50;8 of 21;38;4.88;8 of 21;38;5.38;8 of 21;38;2.00;8 of 21;38;3.25;8 of 21;38;5.00;8 of 21;38;5.00;8 of 21;38;4.88
KTIT;Design in an Organizational Context;6 of 17;35;5.67;6 of 17;35;6.00;6 of 17;35;6.00;6 of 17;35;6.00;6 of 17;35;1.17;6 of 17;35;5.17;6 of 17;35;1.67;6 of 17;35;5.83;6 of 17;35;5.33;6 of 17;35;4.67;6 of 17;35;4.33
KTIT;Distributed Systems;1 of 8;12;6.00;1 of 8;12;5.00;1 of 8;12;4.00;1 of 8;12;5.00;1 of 8;12;4.00;1 of 8;12;5.00;1 of 8;12;3.00;1 of 8;12;5.00;1 of 8;12;5.00;1 of 8;12;3.00;1 of 8;12;2.00
KTIT;Interactive Systems and Project Management;10 of 16;62;4.30;10 of 16;62;4.90;10 of 16;62;4.60;10 of 16;62;5.60;10 of 16;62;2.70;10 of 16;62;2.50;10 of 16;62;4.10;10 of 16;62;4.80;10 of 16;62;5.30;10 of 16;62;4.00;10 of 16;62;4.00
KTIT;Introduction to Programming;9 of 16;56;5.22;9 of 16;56;5.56;9 of 16;56;5.67;9 of 16;56;5.67;9 of 16;56;2.67;9 of 16;56;4.78;9 of 16;56;2.11;9 of 16;56;2.89;9 of 16;56;4.89;9 of 16;56;3.67;9 of 16;56;3.22
KTIT;Language and Logic;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Object Oriented Programming;2 of 8;25;4.50;2 of 8;25;5.00;2 of 8;25;5.50;2 of 8;25;3.00;2 of 8;25;4.50;2 of 8;25;4.50;2 of 8;25;2.00;2 of 8;25;2.50;2 of 8;25;4.50;2 of 8;25;4.50;2 of 8;25;4.50
KTIT;Tools and Concepts in Programming;11 of 16;68;4.82;11 of 16;68;4.91;11 of 16;68;4.91;11 of 16;68;3.91;11 of 16;68;3.55;11 of 16;68;4.73;11 of 16;68;2.18;11 of 16;68;3.09;11 of 16;68;4.73;11 of 16;68;2.82;11 of 16;68;3.09
UL;IT: Platforms and Organization;4 of 21;19;5.00;4 of 21;19;4.75;4 of 21;19;4.50;4 of 21;19;3.50;4 of 21;19;4.00;4 of 21;19;4.25;4 of 21;19;3.00;4 of 21;19;3.75;4 of 21;19;4.50;4 of 21;19;2.75;4 of 21;19;2.75
UL;Innovation and Entrepreneurship;2 of 7;28;5.00;2 of 7;28;4.50;2 of 7;28;5.00;2 of 7;28;6.00;2 of 7;28;3.00;2 of 7;28;4.50;2 of 7;28;4.00;2 of 7;28;4.50;2 of 7;28;5.00;2 of 7;28;4.50;2 of 7;28;3.00
UL;Introductory Programming, Fleksible education;8 of 33;24;5.00;8 of 33;24;5.25;8 of 33;24;5.25;8 of 33;24;4.38;8 of 33;24;3.38;8 of 33;24;5.25;8 of 33;24;2.38;8 of 33;24;4.38;8 of 33;24;4.38;8 of 33;24;3.75;8 of 33;24;3.62
UL;Text communication at the Internet;9 of 28;32;4.56;9 of 28;32;3.56;9 of 28;32;5.00;9 of 28;32;4.89;9 of 28;32;4.89;9 of 28;32;2.22;9 of 28;32;4.89;9 of 28;32;3.00;9 of 28;32;5.67;9 of 28;32;2.44;9 of 28;32;1.89
