Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;B1 Strategic and tactical tools for e-business;20 of 39;51;4.85;20 of 39;51;5.10;20 of 39;51;4.95;20 of 39;51;4.70;20 of 39;51;3.80;20 of 39;51;4.30;20 of 39;51;3.75;20 of 39;51;4.75;20 of 39;51;4.85;20 of 39;51;3.50;20 of 39;51;2.80
?;B12 Marketing og E-business;18 of 43;41;3.94;18 of 43;41;3.83;18 of 43;41;4.50;18 of 43;41;4.00;18 of 43;41;4.67;18 of 43;41;4.72;18 of 43;41;3.06;18 of 43;41;4.33;18 of 43;41;4.67;18 of 43;41;4.22;18 of 43;41;3.61
?;B14 Economics of Information Technology;5 of 22;22;5.20;5 of 22;22;5.60;5 of 22;22;4.80;5 of 22;22;4.40;5 of 22;22;3.40;5 of 22;22;4.60;5 of 22;22;3.00;5 of 22;22;5.00;5 of 22;22;5.00;5 of 22;22;3.80;5 of 22;22;2.80
?;B21 Project Management of IT Sourcing;10 of 20;50;4.30;10 of 20;50;4.30;10 of 20;50;5.20;10 of 20;50;5.30;10 of 20;50;3.30;10 of 20;50;3.60;10 of 20;50;3.70;10 of 20;50;3.40;10 of 20;50;4.50;10 of 20;50;4.00;10 of 20;50;3.20
?;Business IT Alignment;6 of 31;19;5.17;6 of 31;19;4.67;6 of 31;19;5.50;6 of 31;19;4.67;6 of 31;19;3.17;6 of 31;19;4.17;6 of 31;19;3.83;6 of 31;19;5.00;6 of 31;19;5.00;6 of 31;19;3.17;6 of 31;19;2.67
?;Business and Management;23 of 59;38;5.30;23 of 59;38;5.17;23 of 59;38;5.00;23 of 59;38;5.00;23 of 59;38;3.09;23 of 59;38;4.48;23 of 59;38;3.26;23 of 59;38;5.04;23 of 59;38;5.17;23 of 59;38;3.26;23 of 59;38;2.57
?;IT Architecture and Security;16 of 57;28;5.00;16 of 57;28;4.69;16 of 57;28;4.62;16 of 57;28;4.69;16 of 57;28;3.12;16 of 57;28;4.81;16 of 57;28;2.56;16 of 57;28;4.38;16 of 57;28;4.88;16 of 57;28;4.06;16 of 57;28;3.56
?;IT Service Management ;2 of 12;16;5.50;2 of 12;16;4.50;2 of 12;16;5.50;2 of 12;16;3.00;2 of 12;16;5.50;2 of 12;16;4.00;2 of 12;16;3.50;2 of 12;16;5.00;2 of 12;16;6.00;2 of 12;16;4.50;2 of 12;16;5.00
?;IT Strategy;7 of 42;16;4.14;7 of 42;16;3.86;7 of 42;16;4.71;7 of 42;16;5.57;7 of 42;16;2.86;7 of 42;16;2.43;7 of 42;16;4.29;7 of 42;16;3.29;7 of 42;16;4.86;7 of 42;16;4.43;7 of 42;16;2.29
?;P1 National Internet Law;16 of 35;45;5.44;16 of 35;45;5.38;16 of 35;45;5.00;16 of 35;45;4.38;16 of 35;45;4.06;16 of 35;45;4.94;16 of 35;45;2.06;16 of 35;45;5.12;16 of 35;45;4.00;16 of 35;45;3.75;16 of 35;45;3.06
?;Presentation and Investigation;11 of 32;34;5.00;11 of 32;34;4.64;11 of 32;34;4.82;11 of 32;34;4.27;11 of 32;34;4.73;11 of 32;34;5.18;11 of 32;34;2.36;11 of 32;34;4.27;11 of 32;34;5.09;11 of 32;34;4.91;11 of 32;34;4.00
?;Software acquisition and requirements;10 of 36;27;5.80;10 of 36;27;5.50;10 of 36;27;5.30;10 of 36;27;5.90;10 of 36;27;3.00;10 of 36;27;4.10;10 of 36;27;2.30;10 of 36;27;4.70;10 of 36;27;4.90;10 of 36;27;3.70;10 of 36;27;2.90
?;T6 IT-Security;16 of 38;42;5.31;16 of 38;42;5.12;16 of 38;42;4.25;16 of 38;42;4.81;16 of 38;42;2.81;16 of 38;42;4.75;16 of 38;42;2.62;16 of 38;42;5.25;16 of 38;42;4.56;16 of 38;42;3.50;16 of 38;42;2.88
?;T9 Business programming with the .NET framework;12 of 46;26;3.67;12 of 46;26;3.83;12 of 46;26;5.33;12 of 46;26;5.00;12 of 46;26;3.33;12 of 46;26;3.25;12 of 46;26;3.92;12 of 46;26;3.33;12 of 46;26;4.92;12 of 46;26;4.17;12 of 46;26;4.17
KDDK;Basic Graphic Design ;5 of 29;17;5.20;5 of 29;17;5.00;5 of 29;17;5.20;5 of 29;17;5.80;5 of 29;17;2.00;5 of 29;17;3.60;5 of 29;17;3.40;5 of 29;17;4.00;5 of 29;17;5.00;5 of 29;17;4.40;5 of 29;17;3.00
KDDK;Concept Development for Multimedia ;12 of 33;36;4.83;12 of 33;36;5.00;12 of 33;36;4.50;12 of 33;36;5.33;12 of 33;36;3.00;12 of 33;36;4.00;12 of 33;36;3.75;12 of 33;36;5.08;12 of 33;36;5.42;12 of 33;36;3.83;12 of 33;36;2.92
KDDK;Digital Culture: Blog Communication;15 of 27;55;5.40;15 of 27;55;5.27;15 of 27;55;4.60;15 of 27;55;3.73;15 of 27;55;4.00;15 of 27;55;5.20;15 of 27;55;2.53;15 of 27;55;5.33;15 of 27;55;5.47;15 of 27;55;3.20;15 of 27;55;2.60
