Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDDK;Digital Media: Communication and Design;28 of 72;38;4.86;28 of 72;38;3.79;28 of 72;38;5.07;28 of 72;38;4.43;28 of 72;38;4.64;28 of 72;38;4.57;28 of 72;38;3.14;28 of 72;38;4.07;28 of 72;38;4.86;28 of 72;38;4.14;28 of 72;38;3.14
KDDK;Digital Rhetorics ;13 of 21;61;5.31;13 of 21;61;4.62;13 of 21;61;4.85;13 of 21;61;3.77;13 of 21;61;3.54;13 of 21;61;5.46;13 of 21;61;2.00;13 of 21;61;4.85;13 of 21;61;4.77;13 of 21;61;4.38;13 of 21;61;3.23
KDDK;Interaction Design and Ethnography;28 of 65;43;4.39;28 of 65;43;3.82;28 of 65;43;4.21;28 of 65;43;5.29;28 of 65;43;2.86;28 of 65;43;2.54;28 of 65;43;4.36;28 of 65;43;2.61;28 of 65;43;4.54;28 of 65;43;3.46;28 of 65;43;2.57
KDDK;Introductory 3D;5 of 25;20;5.40;5 of 25;20;5.60;5 of 25;20;4.40;5 of 25;20;5.80;5 of 25;20;1.80;5 of 25;20;3.40;5 of 25;20;3.00;5 of 25;20;3.80;5 of 25;20;5.20;5 of 25;20;3.60;5 of 25;20;4.00
KDDK;Introduktion to Scripting, Databases and System Architecture;10 of 39;25;4.90;10 of 39;25;5.00;10 of 39;25;5.20;10 of 39;25;5.00;10 of 39;25;3.60;10 of 39;25;4.50;10 of 39;25;2.90;10 of 39;25;4.10;10 of 39;25;4.50;10 of 39;25;3.70;10 of 39;25;3.10
KDDK;Learning and IT ;7 of 31;22;4.00;7 of 31;22;4.29;7 of 31;22;5.29;7 of 31;22;5.29;7 of 31;22;3.43;7 of 31;22;4.00;7 of 31;22;4.14;7 of 31;22;4.00;7 of 31;22;5.00;7 of 31;22;3.57;7 of 31;22;2.86
KDDK;Multimedia Production for the Internet ;16 of 41;39;5.31;16 of 41;39;5.38;16 of 41;39;4.56;16 of 41;39;5.81;16 of 41;39;2.56;16 of 41;39;3.50;16 of 41;39;2.81;16 of 41;39;3.38;16 of 41;39;4.94;16 of 41;39;4.44;16 of 41;39;3.56
KDDK;Target Group Analysis;9 of 19;47;6.00;9 of 19;47;5.89;9 of 19;47;5.78;9 of 19;47;5.56;9 of 19;47;2.00;9 of 19;47;5.11;9 of 19;47;1.78;9 of 19;47;5.78;9 of 19;47;5.78;9 of 19;47;4.11;9 of 19;47;3.11
KDDK;Usability ;16 of 44;36;5.44;16 of 44;36;5.31;16 of 44;36;5.31;16 of 44;36;5.38;16 of 44;36;2.50;16 of 44;36;4.81;16 of 44;36;2.56;16 of 44;36;5.06;16 of 44;36;5.19;16 of 44;36;4.25;16 of 44;36;3.38
KINT;Distributed Systems ;14 of 33;42;5.43;14 of 33;42;5.50;14 of 33;42;4.79;14 of 33;42;4.71;14 of 33;42;3.86;14 of 33;42;5.21;14 of 33;42;2.57;14 of 33;42;4.21;14 of 33;42;5.00;14 of 33;42;3.86;14 of 33;42;3.64
KITO;Organization and technology: Theory and reality;9 of 16;56;4.44;9 of 16;56;4.11;9 of 16;56;4.44;9 of 16;56;4.44;9 of 16;56;3.78;9 of 16;56;5.33;9 of 16;56;2.67;9 of 16;56;5.00;9 of 16;56;4.67;9 of 16;56;4.44;9 of 16;56;4.11
KMTG;AI in Game Programming;8 of 11;72;4.75;8 of 11;72;4.50;8 of 11;72;5.00;8 of 11;72;4.38;8 of 11;72;3.75;8 of 11;72;4.75;8 of 11;72;2.88;8 of 11;72;4.75;8 of 11;72;5.25;8 of 11;72;4.38;8 of 11;72;3.38
KMTG;Advanced Game Theory                       ;12 of 29;41;4.50;12 of 29;41;4.08;12 of 29;41;4.58;12 of 29;41;3.17;12 of 29;41;3.67;12 of 29;41;4.17;12 of 29;41;4.50;12 of 29;41;4.33;12 of 29;41;5.50;12 of 29;41;3.25;12 of 29;41;2.83
KMTG;Computer Game Culture                 ;3 of 6;50;5.67;3 of 6;50;5.33;3 of 6;50;4.33;3 of 6;50;4.67;3 of 6;50;3.67;3 of 6;50;5.00;3 of 6;50;2.33;3 of 6;50;5.67;3 of 6;50;5.33;3 of 6;50;4.00;3 of 6;50;2.67
KMTG;Engine Programming   ;10 of 25;40;4.70;10 of 25;40;5.00;10 of 25;40;4.10;10 of 25;40;5.50;10 of 25;40;2.70;10 of 25;40;5.10;10 of 25;40;2.90;10 of 25;40;4.10;10 of 25;40;3.80;10 of 25;40;4.50;10 of 25;40;4.30
KMTG;Game Design    ;14 of 43;32;5.36;14 of 43;32;5.29;14 of 43;32;5.21;14 of 43;32;5.14;14 of 43;32;3.93;14 of 43;32;3.36;14 of 43;32;3.93;14 of 43;32;4.50;14 of 43;32;5.57;14 of 43;32;3.79;14 of 43;32;3.00
KMTG;Game Development        ;8 of 15;53;2.50;8 of 15;53;2.00;8 of 15;53;2.88;8 of 15;53;3.25;8 of 15;53;3.88;8 of 15;53;3.00;8 of 15;53;3.38;8 of 15;53;2.25;8 of 15;53;3.38;8 of 15;53;4.62;8 of 15;53;4.38
KMTG;Game Theory                         ;10 of 31;32;5.50;10 of 31;32;5.10;10 of 31;32;4.90;10 of 31;32;4.00;10 of 31;32;3.30;10 of 31;32;4.80;10 of 31;32;3.60;10 of 31;32;4.60;10 of 31;32;5.00;10 of 31;32;3.50;10 of 31;32;3.30
KSDT;Advanced Algorithms;7 of 14;50;5.00;7 of 14;50;4.43;7 of 14;50;4.29;7 of 14;50;3.71;7 of 14;50;3.14;7 of 14;50;4.86;7 of 14;50;1.43;7 of 14;50;4.29;7 of 14;50;5.43;7 of 14;50;4.57;7 of 14;50;5.14
KSDT;Advanced Models and Programs;6 of 6;100;5.83;6 of 6;100;5.17;6 of 6;100;4.67;6 of 6;100;4.50;6 of 6;100;2.67;6 of 6;100;5.33;6 of 6;100;3.17;6 of 6;100;4.50;6 of 6;100;4.33;6 of 6;100;3.83;6 of 6;100;3.17
KSDT;Advanced Object Oriented Programming;22 of 72;30;5.32;22 of 72;30;4.91;22 of 72;30;5.45;22 of 72;30;5.00;22 of 72;30;3.41;22 of 72;30;4.59;22 of 72;30;3.45;22 of 72;30;5.14;22 of 72;30;5.41;22 of 72;30;3.68;22 of 72;30;3.14
KSDT;Component Based Design and J2EE ;15 of 52;28;5.53;15 of 52;28;5.47;15 of 52;28;5.40;15 of 52;28;5.13;15 of 52;28;2.33;15 of 52;28;4.27;15 of 52;28;3.07;15 of 52;28;4.53;15 of 52;28;5.13;15 of 52;28;3.73;15 of 52;28;3.47
KSDT;Database Systems;16 of 54;29;4.50;16 of 54;29;4.81;16 of 54;29;4.94;16 of 54;29;4.81;16 of 54;29;3.38;16 of 54;29;4.12;16 of 54;29;3.00;16 of 54;29;3.88;16 of 54;29;5.50;16 of 54;29;3.62;16 of 54;29;3.12
KSDT;Design of User Interfaces and Data;7 of 25;28;4.43;7 of 25;28;4.57;7 of 25;28;4.57;7 of 25;28;5.00;7 of 25;28;3.57;7 of 25;28;3.86;7 of 25;28;3.86;7 of 25;28;4.14;7 of 25;28;5.29;7 of 25;28;4.14;7 of 25;28;3.29
KSDT;Interactive Web Applications and Services with Java and XML ;9 of 39;23;4.89;9 of 39;23;5.22;9 of 39;23;4.67;9 of 39;23;4.67;9 of 39;23;4.00;9 of 39;23;3.67;9 of 39;23;4.11;9 of 39;23;4.11;9 of 39;23;5.22;9 of 39;23;2.44;9 of 39;23;2.33
KSDT;Introductory Programming ;17 of 65;26;4.94;17 of 65;26;5.00;17 of 65;26;4.76;17 of 65;26;4.94;17 of 65;26;3.06;17 of 65;26;5.18;17 of 65;26;2.41;17 of 65;26;3.76;17 of 65;26;4.65;17 of 65;26;4.71;17 of 65;26;4.06
KSDT;Modelling and Design;15 of 43;34;4.60;15 of 43;34;3.87;15 of 43;34;4.60;15 of 43;34;4.87;15 of 43;34;3.87;15 of 43;34;4.07;15 of 43;34;3.20;15 of 43;34;3.93;15 of 43;34;5.40;15 of 43;34;4.07;15 of 43;34;3.67
KSDT;Performance and Test;12 of 26;46;4.58;12 of 26;46;4.50;12 of 26;46;4.50;12 of 26;46;3.75;12 of 26;46;5.00;12 of 26;46;5.42;12 of 26;46;2.33;12 of 26;46;3.75;12 of 26;46;4.50;12 of 26;46;4.50;12 of 26;46;4.67
KSWU;Advanced IT Project Management and Software Engineering;5 of 16;31;4.60;5 of 16;31;4.60;5 of 16;31;4.80;5 of 16;31;3.60;5 of 16;31;3.80;5 of 16;31;5.20;5 of 16;31;2.20;5 of 16;31;5.60;5 of 16;31;5.60;5 of 16;31;4.00;5 of 16;31;2.20
KSWU;Healthcare IT - Organisational part;14 of 23;60;5.57;14 of 23;60;5.29;14 of 23;60;5.57;14 of 23;60;5.07;14 of 23;60;3.71;14 of 23;60;5.07;14 of 23;60;2.29;14 of 23;60;4.57;14 of 23;60;4.86;14 of 23;60;5.29;14 of 23;60;4.50
KSWU;Healthcare IT - Technical Part;14 of 23;60;4.50;14 of 23;60;5.07;14 of 23;60;4.21;14 of 23;60;3.93;14 of 23;60;4.86;14 of 23;60;5.36;14 of 23;60;1.57;14 of 23;60;3.36;14 of 23;60;2.79;14 of 23;60;5.07;14 of 23;60;4.93
KSWU;IT Project Management and Software Products    ;8 of 41;19;3.75;8 of 41;19;3.62;8 of 41;19;4.62;8 of 41;19;4.50;8 of 41;19;2.38;8 of 41;19;3.62;8 of 41;19;4.38;8 of 41;19;4.00;8 of 41;19;4.25;8 of 41;19;3.88;8 of 41;19;3.12
KSWU;Object-oriented Programming;12 of 39;30;4.25;12 of 39;30;4.17;12 of 39;30;5.17;12 of 39;30;4.50;12 of 39;30;4.33;12 of 39;30;5.08;12 of 39;30;3.00;12 of 39;30;3.50;12 of 39;30;4.75;12 of 39;30;4.75;12 of 39;30;4.00
