Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;Usability;8 of 19;42;5.75;8 of 19;42;5.62;8 of 19;42;5.50;8 of 19;42;5.25;8 of 19;42;3.12;8 of 19;42;4.62;8 of 19;42;3.38;8 of 19;42;5.00;8 of 19;42;5.50;8 of 19;42;3.38;8 of 19;42;2.88
KDKM; Digital video communication;6 of 17;35;5.33;6 of 17;35;4.50;6 of 17;35;4.83;6 of 17;35;4.83;6 of 17;35;4.17;6 of 17;35;3.50;6 of 17;35;2.50;6 of 17;35;4.67;6 of 17;35;4.83;6 of 17;35;5.17;6 of 17;35;4.33
KEBUSS;B1 Tactical and strategic tools for e-business;20 of 35;57;4.50;20 of 35;57;4.30;20 of 35;57;4.95;20 of 35;57;4.05;20 of 35;57;4.35;20 of 35;57;4.15;20 of 35;57;3.15;20 of 35;57;4.55;20 of 35;57;4.70;20 of 35;57;3.70;20 of 35;57;3.00
KEBUSS;B6 IT innovation og virksomhedsopstart;10 of 16;62;4.60;10 of 16;62;4.40;10 of 16;62;4.90;10 of 16;62;4.40;10 of 16;62;5.10;10 of 16;62;5.20;10 of 16;62;3.00;10 of 16;62;4.60;10 of 16;62;4.40;10 of 16;62;4.40;10 of 16;62;3.20
KEBUSS;B8 IT Project management;20 of 29;68;5.15;20 of 29;68;4.85;20 of 29;68;5.55;20 of 29;68;5.40;20 of 29;68;3.00;20 of 29;68;4.15;20 of 29;68;3.70;20 of 29;68;4.45;20 of 29;68;5.05;20 of 29;68;3.20;20 of 29;68;2.90
KEBUSS;B9 Knowledge Management;11 of 18;61;5.45;11 of 18;61;5.18;11 of 18;61;5.09;11 of 18;61;4.45;11 of 18;61;3.27;11 of 18;61;4.91;11 of 18;61;2.36;11 of 18;61;5.09;11 of 18;61;4.91;11 of 18;61;3.55;11 of 18;61;3.09
KEBUSS;E-learning;8 of 18;44;3.88;8 of 18;44;3.62;8 of 18;44;4.75;8 of 18;44;3.62;8 of 18;44;3.88;8 of 18;44;3.50;8 of 18;44;3.75;8 of 18;44;3.38;8 of 18;44;4.88;8 of 18;44;2.88;8 of 18;44;2.75
KEBUSS;International Internet law;8 of 16;50;4.25;8 of 16;50;4.88;8 of 16;50;4.25;8 of 16;50;3.75;8 of 16;50;4.38;8 of 16;50;4.75;8 of 16;50;2.62;8 of 16;50;4.50;8 of 16;50;4.75;8 of 16;50;4.25;8 of 16;50;3.25
KEBUSS;National internet law;28 of 44;63;5.54;28 of 44;63;5.43;28 of 44;63;5.00;28 of 44;63;5.04;28 of 44;63;4.14;28 of 44;63;4.39;28 of 44;63;3.11;28 of 44;63;4.96;28 of 44;63;5.07;28 of 44;63;3.36;28 of 44;63;3.04
KEBUSS;Object-Oriented Programming in Java;10 of 15;66;5.00;10 of 15;66;5.50;10 of 15;66;5.30;10 of 15;66;5.10;10 of 15;66;3.00;10 of 15;66;5.80;10 of 15;66;2.00;10 of 15;66;4.30;10 of 15;66;4.00;10 of 15;66;5.10;10 of 15;66;5.00
KEBUSS;Supply Chain Management;9 of 22;40;5.22;9 of 22;40;5.67;9 of 22;40;5.00;9 of 22;40;5.33;9 of 22;40;2.67;9 of 22;40;4.00;9 of 22;40;2.89;9 of 22;40;4.89;9 of 22;40;4.78;9 of 22;40;3.56;9 of 22;40;2.56
KEBUSS;T0 Grundkursus i netværk og operativsystemer;16 of 35;45;5.12;16 of 35;45;5.12;16 of 35;45;4.19;16 of 35;45;4.62;16 of 35;45;4.38;16 of 35;45;4.94;16 of 35;45;2.81;16 of 35;45;4.88;16 of 35;45;4.62;16 of 35;45;4.31;16 of 35;45;3.44
KEBUSS;T6 IT-sikkerhed;20 of 36;55;5.15;20 of 36;55;5.25;20 of 36;55;4.70;20 of 36;55;5.10;20 of 36;55;3.50;20 of 36;55;4.45;20 of 36;55;2.95;20 of 36;55;5.25;20 of 36;55;4.95;20 of 36;55;3.25;20 of 36;55;2.55
KINT;Advanced Protocols;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KINT;Approximation Algorithms;2 of 5;40;4.50;2 of 5;40;5.50;2 of 5;40;4.00;2 of 5;40;4.00;2 of 5;40;3.50;2 of 5;40;6.00;2 of 5;40;1.50;2 of 5;40;3.50;2 of 5;40;6.00;2 of 5;40;6.00;2 of 5;40;6.00
KINT;Artificial Intelligence;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KINT;Concurrency;13 of 18;72;4.77;13 of 18;72;4.77;13 of 18;72;4.15;13 of 18;72;4.62;13 of 18;72;3.77;13 of 18;72;4.38;13 of 18;72;2.46;13 of 18;72;3.85;13 of 18;72;4.46;13 of 18;72;3.62;13 of 18;72;2.77
KINT;Data Security;16 of 41;39;5.25;16 of 41;39;5.06;16 of 41;39;5.06;16 of 41;39;4.38;16 of 41;39;3.75;16 of 41;39;5.12;16 of 41;39;2.75;16 of 41;39;4.62;16 of 41;39;4.88;16 of 41;39;3.69;16 of 41;39;3.44
KINT;Data on the Web;30 of 67;44;4.57;30 of 67;44;4.57;30 of 67;44;4.13;30 of 67;44;2.63;30 of 67;44;3.93;30 of 67;44;5.40;30 of 67;44;2.97;30 of 67;44;4.93;30 of 67;44;4.93;30 of 67;44;3.57;30 of 67;44;3.17
KINT;Distributed Systems;10 of 25;40;5.00;10 of 25;40;4.30;10 of 25;40;5.00;10 of 25;40;4.30;10 of 25;40;3.50;10 of 25;40;4.40;10 of 25;40;3.20;10 of 25;40;3.60;10 of 25;40;4.80;10 of 25;40;3.60;10 of 25;40;3.30
KINT;Future Mobile Communication Systems;3 of 13;23;5.33;3 of 13;23;3.67;3 of 13;23;3.33;3 of 13;23;2.67;3 of 13;23;4.00;3 of 13;23;3.33;3 of 13;23;5.00;3 of 13;23;3.33;3 of 13;23;4.00;3 of 13;23;3.33;3 of 13;23;3.33
KINT;IT-mathematics;8 of 20;40;2.25;8 of 20;40;2.25;8 of 20;40;2.38;8 of 20;40;1.50;8 of 20;40;5.25;8 of 20;40;5.88;8 of 20;40;1.00;8 of 20;40;2.25;8 of 20;40;3.00;8 of 20;40;4.12;8 of 20;40;5.12
KINT;Introduction to Programming - Concepts and Tools;12 of 41;29;5.67;12 of 41;29;5.42;12 of 41;29;5.67;12 of 41;29;5.42;12 of 41;29;3.58;12 of 41;29;4.17;12 of 41;29;2.83;12 of 41;29;4.67;12 of 41;29;5.00;12 of 41;29;3.92;12 of 41;29;3.33
KINT;Networks and Protocols;21 of 42;50;4.95;21 of 42;50;5.33;21 of 42;50;5.00;21 of 42;50;4.05;21 of 42;50;3.48;21 of 42;50;3.71;21 of 42;50;3.33;21 of 42;50;4.00;21 of 42;50;5.24;21 of 42;50;2.76;21 of 42;50;2.52
KINT;Telecommunication Economics and Policy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KINT;The Corporate Intranet;1 of 10;10;5.00;1 of 10;10;6.00;1 of 10;10;4.00;1 of 10;10;6.00;1 of 10;10;2.00;1 of 10;10;3.00;1 of 10;10;3.00;1 of 10;10;5.00;1 of 10;10;6.00;1 of 10;10;3.00;1 of 10;10;3.00
KINT;Web Programming;27 of 64;42;4.56;27 of 64;42;4.81;27 of 64;42;4.37;27 of 64;42;5.07;27 of 64;42;3.30;27 of 64;42;3.70;27 of 64;42;3.44;27 of 64;42;3.30;27 of 64;42;4.78;27 of 64;42;3.37;27 of 64;42;3.22
KMMT;Computer Graphics 2;2 of 5;40;4.00;2 of 5;40;3.50;2 of 5;40;5.00;2 of 5;40;5.00;2 of 5;40;5.50;2 of 5;40;5.50;2 of 5;40;4.00;2 of 5;40;5.00;2 of 5;40;5.00;2 of 5;40;4.50;2 of 5;40;5.50
KMMT;Computer graphics;8 of 15;53;5.00;8 of 15;53;4.75;8 of 15;53;4.62;8 of 15;53;5.62;8 of 15;53;3.25;8 of 15;53;3.75;8 of 15;53;3.38;8 of 15;53;4.75;8 of 15;53;4.75;8 of 15;53;4.62;8 of 15;53;3.50
KMMT;Image Analysis;3 of 9;33;5.33;3 of 9;33;5.67;3 of 9;33;5.33;3 of 9;33;5.33;3 of 9;33;3.33;3 of 9;33;4.67;3 of 9;33;3.67;3 of 9;33;4.33;3 of 9;33;4.33;3 of 9;33;4.00;3 of 9;33;4.67
KMMT;Introduction to multimedia systems;6 of 32;18;4.67;6 of 32;18;4.17;6 of 32;18;3.83;6 of 32;18;4.33;6 of 32;18;4.50;6 of 32;18;3.67;6 of 32;18;4.50;6 of 32;18;4.83;6 of 32;18;5.50;6 of 32;18;3.50;6 of 32;18;3.33
KMMT;Medical Image Analysis;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;6.00;1 of 1;100;4.00;1 of 1;100;5.00
KMMT;Signal Processing;5 of 36;13;5.20;5 of 36;13;5.60;5 of 36;13;4.80;5 of 36;13;4.20;5 of 36;13;4.80;5 of 36;13;5.00;5 of 36;13;2.40;5 of 36;13;4.00;5 of 36;13;5.20;5 of 36;13;4.20;5 of 36;13;3.80
KMMT;Speech Coding and Recognition;3 of 20;15;5.67;3 of 20;15;5.67;3 of 20;15;5.33;3 of 20;15;4.33;3 of 20;15;3.33;3 of 20;15;6.00;3 of 20;15;3.67;3 of 20;15;4.67;3 of 20;15;4.67;3 of 20;15;4.33;3 of 20;15;3.00
KSWU;Advanced Datastructures;16 of 35;45;5.06;16 of 35;45;5.06;16 of 35;45;4.25;16 of 35;45;2.75;16 of 35;45;2.19;16 of 35;45;5.81;16 of 35;45;1.69;16 of 35;45;4.50;16 of 35;45;4.75;16 of 35;45;4.56;16 of 35;45;4.06
KSWU;Advanced IT Project Management and Software Engineering;20 of 29;68;5.10;20 of 29;68;4.25;20 of 29;68;5.20;20 of 29;68;4.75;20 of 29;68;3.45;20 of 29;68;3.95;20 of 29;68;3.80;20 of 29;68;4.35;20 of 29;68;5.30;20 of 29;68;2.95;20 of 29;68;2.55
KSWU;Advanced object-oriented programming;27 of 49;55;4.59;27 of 49;55;4.33;27 of 49;55;4.96;27 of 49;55;4.96;27 of 49;55;3.52;27 of 49;55;4.52;27 of 49;55;2.96;27 of 49;55;4.07;27 of 49;55;5.07;27 of 49;55;3.30;27 of 49;55;3.30
KSWU;Computer Supported Cooperative Work;11 of 20;55;5.18;11 of 20;55;4.82;11 of 20;55;5.00;11 of 20;55;4.82;11 of 20;55;3.82;11 of 20;55;4.82;11 of 20;55;3.00;11 of 20;55;5.00;11 of 20;55;5.00;11 of 20;55;3.27;11 of 20;55;3.18
KSWU;Database Systems;20 of 38;52;4.40;20 of 38;52;4.50;20 of 38;52;4.85;20 of 38;52;4.50;20 of 38;52;3.80;20 of 38;52;4.25;20 of 38;52;3.30;20 of 38;52;3.05;20 of 38;52;5.25;20 of 38;52;4.10;20 of 38;52;4.00
KSWU;Design and designers;7 of 15;46;4.71;7 of 15;46;4.57;7 of 15;46;4.86;7 of 15;46;5.00;7 of 15;46;3.14;7 of 15;46;3.14;7 of 15;46;3.57;7 of 15;46;4.43;7 of 15;46;5.00;7 of 15;46;4.29;7 of 15;46;4.00
KSWU;Design of user interfaces and data;30 of 58;51;4.93;30 of 58;51;5.03;30 of 58;51;4.60;30 of 58;51;4.97;30 of 58;51;3.47;30 of 58;51;4.07;30 of 58;51;2.93;30 of 58;51;3.47;30 of 58;51;4.77;30 of 58;51;3.80;30 of 58;51;3.60
KSWU;Functional design and programming;16 of 31;51;4.56;16 of 31;51;5.19;16 of 31;51;3.62;16 of 31;51;4.06;16 of 31;51;3.38;16 of 31;51;5.19;16 of 31;51;1.94;16 of 31;51;3.50;16 of 31;51;5.25;16 of 31;51;4.44;16 of 31;51;3.94
KSWU;IT-project management;11 of 25;44;4.00;11 of 25;44;3.82;11 of 25;44;3.55;11 of 25;44;4.64;11 of 25;44;3.36;11 of 25;44;2.91;11 of 25;44;3.91;11 of 25;44;4.27;11 of 25;44;4.73;11 of 25;44;2.91;11 of 25;44;2.18
KSWU;IT: Platforms and Organisation;13 of 28;46;3.77;13 of 28;46;3.92;13 of 28;46;4.31;13 of 28;46;4.69;13 of 28;46;4.69;13 of 28;46;3.54;13 of 28;46;3.62;13 of 28;46;3.00;13 of 28;46;5.15;13 of 28;46;2.69;13 of 28;46;2.23
KSWU;Introduction to algorithms and data structures;15 of 27;55;5.20;15 of 27;55;5.33;15 of 27;55;4.87;15 of 27;55;3.33;15 of 27;55;2.53;15 of 27;55;5.07;15 of 27;55;2.73;15 of 27;55;4.60;15 of 27;55;4.80;15 of 27;55;4.47;15 of 27;55;3.53
KSWU;Introductory programming;32 of 63;50;4.69;32 of 63;50;5.09;32 of 63;50;5.06;32 of 63;50;5.28;32 of 63;50;3.09;32 of 63;50;4.84;32 of 63;50;2.00;32 of 63;50;3.69;32 of 63;50;4.44;32 of 63;50;5.16;32 of 63;50;4.41
KSWU;Object-oriented programming;29 of 60;48;5.62;29 of 60;48;5.72;29 of 60;48;5.38;29 of 60;48;5.31;29 of 60;48;2.86;29 of 60;48;4.55;29 of 60;48;2.79;29 of 60;48;3.76;29 of 60;48;5.55;29 of 60;48;3.69;29 of 60;48;2.86
KSWU;Software Engineering;17 of 38;44;4.59;17 of 38;44;4.88;17 of 38;44;5.00;17 of 38;44;5.53;17 of 38;44;2.53;17 of 38;44;4.35;17 of 38;44;3.18;17 of 38;44;4.41;17 of 38;44;4.94;17 of 38;44;5.18;17 of 38;44;5.12
KTIT;Artificial Intelligence (AI);1 of 4;25;6.00;1 of 4;25;5.00;1 of 4;25;6.00;1 of 4;25;5.00;1 of 4;25;2.00;1 of 4;25;5.00;1 of 4;25;1.00;1 of 4;25;6.00;1 of 4;25;5.00;1 of 4;25;5.00;1 of 4;25;3.00
KTIT;Data Structures and Algorithms;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Databases;1 of 9;11;3.00;1 of 9;11;3.00;1 of 9;11;6.00;1 of 9;11;5.00;1 of 9;11;4.00;1 of 9;11;6.00;1 of 9;11;2.00;1 of 9;11;3.00;1 of 9;11;3.00;1 of 9;11;4.00;1 of 9;11;6.00
KTIT;Design and use of Interactive Web-Applications;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Digital Communication;4 of 10;40;4.25;4 of 10;40;5.50;4 of 10;40;2.75;4 of 10;40;3.00;4 of 10;40;3.25;4 of 10;40;6.00;4 of 10;40;1.75;4 of 10;40;3.75;4 of 10;40;3.00;4 of 10;40;5.00;4 of 10;40;5.00
KTIT;Interactive Systems and Project Management;4 of 12;33;5.50;4 of 12;33;5.25;4 of 12;33;5.75;4 of 12;33;5.25;4 of 12;33;5.00;4 of 12;33;4.00;4 of 12;33;3.25;4 of 12;33;4.75;4 of 12;33;4.25;4 of 12;33;2.75;4 of 12;33;3.75
KTIT;Introduction to Programming;5 of 12;41;3.60;5 of 12;41;3.40;5 of 12;41;5.00;5 of 12;41;4.20;5 of 12;41;4.20;5 of 12;41;4.80;5 of 12;41;2.20;5 of 12;41;2.60;5 of 12;41;3.40;5 of 12;41;4.60;5 of 12;41;5.00
KTIT;Mobile Networks;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Object Oriented Programming;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;6.00;1 of 3;33;2.00;1 of 3;33;6.00;1 of 3;33;5.00;1 of 3;33;3.00;1 of 3;33;4.00;1 of 3;33;3.00;1 of 3;33;4.00;1 of 3;33;4.00
KTIT;Tools and Concepts in Programming;5 of 14;35;5.40;5 of 14;35;5.40;5 of 14;35;4.00;5 of 14;35;3.80;5 of 14;35;4.00;5 of 14;35;4.60;5 of 14;35;2.20;5 of 14;35;3.00;5 of 14;35;3.60;5 of 14;35;4.40;5 of 14;35;3.60
UL;Advanced Digital Text modelling;6 of 15;40;5.33;6 of 15;40;5.50;6 of 15;40;5.00;6 of 15;40;5.00;6 of 15;40;3.17;6 of 15;40;3.67;6 of 15;40;3.83;6 of 15;40;3.17;6 of 15;40;5.00;6 of 15;40;3.00;6 of 15;40;2.00
UL;Advanced Multimedia Production for the Internet;7 of 27;25;5.57;7 of 27;25;5.00;7 of 27;25;4.29;7 of 27;25;5.86;7 of 27;25;2.86;7 of 27;25;2.86;7 of 27;25;3.43;7 of 27;25;5.00;7 of 27;25;5.29;7 of 27;25;3.29;7 of 27;25;2.43
UL;Advanced Object Oriented Programming;4 of 10;40;4.25;4 of 10;40;3.00;4 of 10;40;5.00;4 of 10;40;4.50;4 of 10;40;3.50;4 of 10;40;4.25;4 of 10;40;3.25;4 of 10;40;4.50;4 of 10;40;5.25;4 of 10;40;4.50;4 of 10;40;3.00
