Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;B1 Strategic and tactical tools for e-business;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;B1 Strategic and tactical tools for e-business;6 of 27;22;5.17;6 of 27;22;5.17;6 of 27;22;5.33;6 of 27;22;4.00;6 of 27;22;3.17;6 of 27;22;4.33;6 of 27;22;3.00;6 of 27;22;3.50;6 of 27;22;5.50;6 of 27;22;3.67;6 of 27;22;3.33
?;B19 IT-Strategy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;B19 IT-Strategy;11 of 40;27;5.27;11 of 40;27;4.73;11 of 40;27;4.73;11 of 40;27;3.91;11 of 40;27;4.18;11 of 40;27;4.18;11 of 40;27;2.82;11 of 40;27;4.82;11 of 40;27;5.73;11 of 40;27;2.73;11 of 40;27;2.36
?;B9 Knowledge Management;6 of 17;35;3.67;6 of 17;35;3.67;6 of 17;35;4.50;6 of 17;35;3.33;6 of 17;35;4.50;6 of 17;35;3.50;6 of 17;35;4.17;6 of 17;35;4.17;6 of 17;35;5.00;6 of 17;35;2.17;6 of 17;35;2.17
?;HealthcareIT - Concepts and Systems;15 of 27;55;4.67;15 of 27;55;4.13;15 of 27;55;4.87;15 of 27;55;4.20;15 of 27;55;4.73;15 of 27;55;5.40;15 of 27;55;1.67;15 of 27;55;4.33;15 of 27;55;4.20;15 of 27;55;5.53;15 of 27;55;5.27
?;IT Architecture and Security;17 of 58;29;4.41;17 of 58;29;4.12;17 of 58;29;4.06;17 of 58;29;4.06;17 of 58;29;3.12;17 of 58;29;3.76;17 of 58;29;3.47;17 of 58;29;3.94;17 of 58;29;4.82;17 of 58;29;4.18;17 of 58;29;3.71
?;P1 National Internet Law;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;P1 National Internet Law;4 of 24;16;5.25;4 of 24;16;5.50;4 of 24;16;4.75;4 of 24;16;3.50;4 of 24;16;3.75;4 of 24;16;5.25;4 of 24;16;2.25;4 of 24;16;4.00;4 of 24;16;3.25;4 of 24;16;4.25;4 of 24;16;4.50
?;Personal Management and Change Management;6 of 20;30;5.33;6 of 20;30;4.50;6 of 20;30;5.33;6 of 20;30;5.33;6 of 20;30;3.00;6 of 20;30;3.33;6 of 20;30;3.33;6 of 20;30;4.83;6 of 20;30;5.50;6 of 20;30;3.00;6 of 20;30;2.67
?;Software acquisition and requirements;13 of 40;32;4.92;13 of 40;32;4.85;13 of 40;32;5.23;13 of 40;32;5.38;13 of 40;32;3.46;13 of 40;32;3.77;13 of 40;32;3.62;13 of 40;32;3.92;13 of 40;32;5.00;13 of 40;32;4.00;13 of 40;32;3.15
?;T13 Business Intelligence;11 of 40;27;4.18;11 of 40;27;4.73;11 of 40;27;4.64;11 of 40;27;5.27;11 of 40;27;3.64;11 of 40;27;3.36;11 of 40;27;4.45;11 of 40;27;3.36;11 of 40;27;4.55;11 of 40;27;3.00;11 of 40;27;3.09
?;T3 HCI Human and Technology;4 of 15;26;4.75;4 of 15;26;3.50;4 of 15;26;4.75;4 of 15;26;4.75;4 of 15;26;3.75;4 of 15;26;5.00;4 of 15;26;2.00;4 of 15;26;3.50;4 of 15;26;4.25;4 of 15;26;3.75;4 of 15;26;2.75
