Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;T6 IT-Security;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;T6 IT-Security;5 of 21;23;5.60;5 of 21;23;5.60;5 of 21;23;5.20;5 of 21;23;5.80;5 of 21;23;2.00;5 of 21;23;4.20;5 of 21;23;2.40;5 of 21;23;4.60;5 of 21;23;3.20;5 of 21;23;4.20;5 of 21;23;3.00
?;T8 Enterprise Architecture ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;T8 Enterprise Architecture ;7 of 37;18;4.86;7 of 37;18;3.71;7 of 37;18;5.00;7 of 37;18;4.14;7 of 37;18;4.00;7 of 37;18;5.00;7 of 37;18;2.43;7 of 37;18;4.57;7 of 37;18;4.43;7 of 37;18;4.14;7 of 37;18;3.57
?;T9 Business programming with the .NET framework;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;T9 Business programming with the .NET framework;12 of 52;23;4.67;12 of 52;23;4.83;12 of 52;23;5.33;12 of 52;23;5.33;12 of 52;23;3.83;12 of 52;23;3.25;12 of 52;23;4.08;12 of 52;23;3.42;12 of 52;23;5.33;12 of 52;23;4.42;12 of 52;23;4.08
KDDK;Basic Graphic Design ;11 of 29;37;5.73;11 of 29;37;5.82;11 of 29;37;5.45;11 of 29;37;5.91;11 of 29;37;2.09;11 of 29;37;4.00;11 of 29;37;2.45;11 of 29;37;4.45;11 of 29;37;4.91;11 of 29;37;3.55;11 of 29;37;2.73
KDDK;Concept Development for Multimedia ;31 of 59;52;5.10;31 of 59;52;4.81;31 of 59;52;5.19;31 of 59;52;5.45;31 of 59;52;2.94;31 of 59;52;4.13;31 of 59;52;3.00;31 of 59;52;5.03;31 of 59;52;5.61;31 of 59;52;3.94;31 of 59;52;3.32
KDDK;Digital Culture;21 of 39;53;5.10;21 of 39;53;5.33;21 of 39;53;4.76;21 of 39;53;3.10;21 of 39;53;4.57;21 of 39;53;5.67;21 of 39;53;1.29;21 of 39;53;5.57;21 of 39;53;5.05;21 of 39;53;4.38;21 of 39;53;3.90
KDDK;Digital Media: Communication and Design;33 of 56;58;4.55;33 of 56;58;3.70;33 of 56;58;4.61;33 of 56;58;4.00;33 of 56;58;4.39;33 of 56;58;3.70;33 of 56;58;4.12;33 of 56;58;3.85;33 of 56;58;5.06;33 of 56;58;3.36;33 of 56;58;2.45
KDDK;Digital Rhetorics ;6 of 25;24;5.83;6 of 25;24;5.33;6 of 25;24;5.33;6 of 25;24;5.67;6 of 25;24;2.17;6 of 25;24;5.50;6 of 25;24;1.50;6 of 25;24;5.83;6 of 25;24;5.17;6 of 25;24;3.67;6 of 25;24;2.00
KDDK;Interaction Design and Ethnography;30 of 48;62;5.03;30 of 48;62;4.80;30 of 48;62;4.53;30 of 48;62;5.30;30 of 48;62;3.27;30 of 48;62;4.00;30 of 48;62;3.30;30 of 48;62;4.73;30 of 48;62;4.63;30 of 48;62;4.93;30 of 48;62;3.87
KDDK;Introduction to Scripting, Databases and System Architecture;41 of 107;38;3.29;41 of 107;38;4.15;41 of 107;38;3.85;41 of 107;38;4.83;41 of 107;38;3.34;41 of 107;38;4.63;41 of 107;38;2.32;41 of 107;38;3.24;41 of 107;38;3.17;41 of 107;38;4.41;41 of 107;38;4.56
KDDK;Introductory 3D;11 of 34;32;5.91;11 of 34;32;5.91;11 of 34;32;5.55;11 of 34;32;5.73;11 of 34;32;3.36;11 of 34;32;4.55;11 of 34;32;2.91;11 of 34;32;4.82;11 of 34;32;5.27;11 of 34;32;4.00;11 of 34;32;3.18
KDDK;Multimedia Production for the Internet ;10 of 39;25;5.90;10 of 39;25;5.80;10 of 39;25;4.90;10 of 39;25;5.90;10 of 39;25;2.60;10 of 39;25;3.80;10 of 39;25;2.40;10 of 39;25;5.00;10 of 39;25;5.00;10 of 39;25;4.40;10 of 39;25;3.60
KDDK;Social Software: Design and implementation;5 of 14;35;4.40;5 of 14;35;3.40;5 of 14;35;5.00;5 of 14;35;4.20;5 of 14;35;4.20;5 of 14;35;4.60;5 of 14;35;2.40;5 of 14;35;4.80;5 of 14;35;5.20;5 of 14;35;5.00;5 of 14;35;4.20
KDDK;Target Group Analysis;20 of 40;50;5.45;20 of 40;50;5.75;20 of 40;50;5.25;20 of 40;50;5.35;20 of 40;50;3.10;20 of 40;50;5.55;20 of 40;50;1.80;20 of 40;50;5.15;20 of 40;50;5.55;20 of 40;50;4.70;20 of 40;50;3.90
KDDK;Usability ;16 of 50;32;4.56;16 of 50;32;3.88;16 of 50;32;5.25;16 of 50;32;4.94;16 of 50;32;3.88;16 of 50;32;3.75;16 of 50;32;3.44;16 of 50;32;4.50;16 of 50;32;5.31;16 of 50;32;3.44;16 of 50;32;2.81
KINT;Process and Data Modelling;9 of 48;18;3.78;9 of 48;18;3.78;9 of 48;18;5.00;9 of 48;18;3.11;9 of 48;18;4.44;9 of 48;18;5.00;9 of 48;18;2.44;9 of 48;18;3.89;9 of 48;18;3.78;9 of 48;18;4.44;9 of 48;18;4.56
KITO;Organization and technology: Theory and reality;10 of 15;66;4.40;10 of 15;66;4.40;10 of 15;66;4.50;10 of 15;66;3.70;10 of 15;66;4.10;10 of 15;66;4.80;10 of 15;66;2.80;10 of 15;66;4.90;10 of 15;66;4.00;10 of 15;66;4.90;10 of 15;66;4.10
KITO;Praxis Theory;4 of 5;80;4.75;4 of 5;80;5.25;4 of 5;80;5.00;4 of 5;80;4.25;4 of 5;80;3.25;4 of 5;80;4.00;4 of 5;80;4.25;4 of 5;80;5.00;4 of 5;80;4.00;4 of 5;80;2.50;4 of 5;80;2.00
KITO;System Development 1    ;9 of 27;33;3.67;9 of 27;33;4.00;9 of 27;33;4.56;9 of 27;33;3.78;9 of 27;33;4.56;9 of 27;33;3.33;9 of 27;33;3.44;9 of 27;33;4.22;9 of 27;33;5.44;9 of 27;33;3.56;9 of 27;33;3.78
KMTG;Computer Game Culture                 ;8 of 31;25;5.12;8 of 31;25;5.00;8 of 31;25;4.50;8 of 31;25;2.38;8 of 31;25;3.38;8 of 31;25;4.88;8 of 31;25;3.25;8 of 31;25;4.25;8 of 31;25;4.88;8 of 31;25;3.38;8 of 31;25;3.25
KMTG;Game Development        ;15 of 35;42;4.40;15 of 35;42;3.87;15 of 35;42;5.20;15 of 35;42;5.13;15 of 35;42;3.67;15 of 35;42;2.80;15 of 35;42;3.60;15 of 35;42;4.13;15 of 35;42;4.73;15 of 35;42;4.53;15 of 35;42;4.40
KSDT;Advanced Models and Programs;10 of 20;50;5.90;10 of 20;50;5.10;10 of 20;50;5.30;10 of 20;50;3.70;10 of 20;50;3.00;10 of 20;50;5.80;10 of 20;50;2.60;10 of 20;50;4.50;10 of 20;50;4.70;10 of 20;50;4.70;10 of 20;50;4.00
KSDT;Database Tuning;6 of 20;30;4.67;6 of 20;30;5.33;6 of 20;30;5.00;6 of 20;30;5.17;6 of 20;30;3.50;6 of 20;30;5.17;6 of 20;30;3.67;6 of 20;30;4.83;6 of 20;30;4.83;6 of 20;30;5.17;6 of 20;30;4.83
KSDT;Efficient AI Programming;16 of 51;31;4.81;16 of 51;31;4.88;16 of 51;31;5.12;16 of 51;31;3.88;16 of 51;31;3.62;16 of 51;31;4.81;16 of 51;31;1.88;16 of 51;31;4.31;16 of 51;31;4.75;16 of 51;31;4.38;16 of 51;31;4.19
KSDT;Mobile and Distributed Systems;13 of 44;29;5.15;13 of 44;29;4.77;13 of 44;29;4.92;13 of 44;29;4.62;13 of 44;29;3.85;13 of 44;29;4.54;13 of 44;29;2.77;13 of 44;29;4.23;13 of 44;29;5.15;13 of 44;29;3.77;13 of 44;29;3.23
KSDT;Object Oriented Programming - Introduction;11 of 38;28;5.36;11 of 38;28;4.36;11 of 38;28;5.27;11 of 38;28;4.64;11 of 38;28;4.27;11 of 38;28;4.91;11 of 38;28;2.27;11 of 38;28;4.45;11 of 38;28;4.91;11 of 38;28;4.00;11 of 38;28;3.73
KSDT;Performance and Test;9 of 42;21;5.11;9 of 42;21;4.56;9 of 42;21;5.56;9 of 42;21;4.78;9 of 42;21;3.56;9 of 42;21;4.67;9 of 42;21;3.44;9 of 42;21;5.00;9 of 42;21;5.11;9 of 42;21;4.00;9 of 42;21;3.89
KSWU;Design of User Interfaces and Data;17 of 63;26;4.53;17 of 63;26;4.65;17 of 63;26;4.71;17 of 63;26;4.76;17 of 63;26;3.29;17 of 63;26;4.12;17 of 63;26;2.94;17 of 63;26;3.53;17 of 63;26;4.53;17 of 63;26;3.94;17 of 63;26;3.47
KSWU;IT Project Management ;9 of 49;18;5.00;9 of 49;18;5.11;9 of 49;18;5.67;9 of 49;18;5.00;9 of 49;18;3.11;9 of 49;18;4.78;9 of 49;18;2.56;9 of 49;18;4.33;9 of 49;18;4.78;9 of 49;18;3.56;9 of 49;18;3.22
KSWU;Introductory Programming ;10 of 56;17;4.90;10 of 56;17;4.70;10 of 56;17;4.20;10 of 56;17;5.00;10 of 56;17;3.30;10 of 56;17;4.90;10 of 56;17;2.90;10 of 56;17;3.50;10 of 56;17;4.40;10 of 56;17;5.00;10 of 56;17;3.70
KSWU;Object-oriented Programming;3 of 11;27;5.67;3 of 11;27;5.33;3 of 11;27;4.00;3 of 11;27;3.67;3 of 11;27;4.00;3 of 11;27;4.00;3 of 11;27;5.00;3 of 11;27;4.33;3 of 11;27;5.00;3 of 11;27;2.33;3 of 11;27;2.33
KSWU;Outsourcing;10 of 31;32;4.80;10 of 31;32;5.20;10 of 31;32;5.30;10 of 31;32;5.70;10 of 31;32;2.60;10 of 31;32;2.70;10 of 31;32;4.40;10 of 31;32;4.40;10 of 31;32;5.60;10 of 31;32;2.60;10 of 31;32;2.20
