Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;Personal Management and Change Management;6 of 19;31;6.00;6 of 19;31;5.17;6 of 19;31;6.00;6 of 19;31;5.67;6 of 19;31;2.00;6 of 19;31;3.83;6 of 19;31;2.83;6 of 19;31;4.83;6 of 19;31;4.83;6 of 19;31;3.33;6 of 19;31;3.50
?;Presentation and Investigation;12 of 31;38;4.17;12 of 31;38;4.25;12 of 31;38;4.17;12 of 31;38;4.17;12 of 31;38;4.75;12 of 31;38;3.92;12 of 31;38;4.00;12 of 31;38;3.83;12 of 31;38;4.58;12 of 31;38;3.42;12 of 31;38;2.67
?;Project work and Communication - B.Sc. course;11 of 41;26;5.36;11 of 41;26;5.00;11 of 41;26;5.18;11 of 41;26;4.82;11 of 41;26;3.55;11 of 41;26;5.09;11 of 41;26;2.91;11 of 41;26;4.00;11 of 41;26;5.18;11 of 41;26;2.36;11 of 41;26;2.27
?;Systematic design of User Interfaces - B.Sc. course;11 of 41;26;5.18;11 of 41;26;5.45;11 of 41;26;4.82;11 of 41;26;5.36;11 of 41;26;2.45;11 of 41;26;4.64;11 of 41;26;2.64;11 of 41;26;4.36;11 of 41;26;4.73;11 of 41;26;4.18;11 of 41;26;3.73
?;T1 Introduction to programming and distributed systems;9 of 24;37;3.33;9 of 24;37;2.89;9 of 24;37;5.00;9 of 24;37;4.78;9 of 24;37;3.56;9 of 24;37;4.67;9 of 24;37;2.11;9 of 24;37;2.78;9 of 24;37;3.00;9 of 24;37;4.33;9 of 24;37;4.44
?;T13 Business Intelligence ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;T13 Business Intelligence ;12 of 24;50;3.17;12 of 24;50;3.25;12 of 24;50;3.50;12 of 24;50;3.75;12 of 24;50;4.08;12 of 24;50;4.33;12 of 24;50;3.50;12 of 24;50;4.08;12 of 24;50;4.33;12 of 24;50;3.08;12 of 24;50;3.08
?;T6 IT-Security;4 of 21;19;5.00;4 of 21;19;4.75;4 of 21;19;3.75;4 of 21;19;4.25;4 of 21;19;3.75;4 of 21;19;4.25;4 of 21;19;3.25;4 of 21;19;5.25;4 of 21;19;4.75;4 of 21;19;3.25;4 of 21;19;2.50
?;T9 Business programming with the .NET framework ;15 of 49;30;5.27;15 of 49;30;5.07;15 of 49;30;5.20;15 of 49;30;5.53;15 of 49;30;3.53;15 of 49;30;4.27;15 of 49;30;3.60;15 of 49;30;4.20;15 of 49;30;5.40;15 of 49;30;5.27;15 of 49;30;5.33
KDDK;Basic Graphic Design ;5 of 30;16;5.00;5 of 30;16;3.80;5 of 30;16;4.20;5 of 30;16;5.00;5 of 30;16;4.20;5 of 30;16;2.60;5 of 30;16;4.40;5 of 30;16;3.60;5 of 30;16;3.00;5 of 30;16;3.00;5 of 30;16;1.80
KDDK;Concept Development for Multimedia ;17 of 44;38;3.00;17 of 44;38;2.59;17 of 44;38;4.65;17 of 44;38;4.47;17 of 44;38;4.47;17 of 44;38;2.82;17 of 44;38;4.00;17 of 44;38;3.29;17 of 44;38;5.35;17 of 44;38;3.41;17 of 44;38;2.71
KDDK;Digital Culture;22 of 75;29;5.00;22 of 75;29;4.95;22 of 75;29;4.77;22 of 75;29;3.95;22 of 75;29;3.95;22 of 75;29;4.95;22 of 75;29;3.09;22 of 75;29;4.18;22 of 75;29;5.18;22 of 75;29;3.64;22 of 75;29;2.86
KDDK;Digital Rhetorics ;16 of 54;29;4.75;16 of 54;29;4.69;16 of 54;29;4.50;16 of 54;29;3.88;16 of 54;29;4.19;16 of 54;29;4.62;16 of 54;29;2.69;16 of 54;29;4.94;16 of 54;29;5.00;16 of 54;29;3.62;16 of 54;29;3.12
KDDK;Interaction Design;28 of 81;34;4.46;28 of 81;34;4.25;28 of 81;34;3.93;28 of 81;34;5.14;28 of 81;34;3.54;28 of 81;34;3.96;28 of 81;34;2.93;28 of 81;34;4.64;28 of 81;34;4.36;28 of 81;34;5.07;28 of 81;34;4.50
KDDK;Introduction to Scripting, Databases and System Architecture;25 of 86;29;4.08;25 of 86;29;4.84;25 of 86;29;3.92;25 of 86;29;4.72;25 of 86;29;3.20;25 of 86;29;4.84;25 of 86;29;1.76;25 of 86;29;3.76;25 of 86;29;3.28;25 of 86;29;4.48;25 of 86;29;4.44
KDDK;Introductory 3D;7 of 21;33;6.00;7 of 21;33;5.86;7 of 21;33;3.71;7 of 21;33;5.71;7 of 21;33;2.14;7 of 21;33;4.29;7 of 21;33;1.57;7 of 21;33;4.00;7 of 21;33;4.43;7 of 21;33;4.71;7 of 21;33;4.71
KDDK;Learning and IT ;6 of 20;30;5.50;6 of 20;30;5.50;6 of 20;30;5.17;6 of 20;30;5.17;6 of 20;30;2.33;6 of 20;30;4.17;6 of 20;30;4.33;6 of 20;30;5.33;6 of 20;30;5.17;6 of 20;30;2.67;6 of 20;30;1.67
KDDK;Media and Communication;27 of 66;40;4.22;27 of 66;40;4.11;27 of 66;40;4.04;27 of 66;40;3.52;27 of 66;40;4.07;27 of 66;40;3.81;27 of 66;40;3.89;27 of 66;40;4.56;27 of 66;40;4.78;27 of 66;40;2.93;27 of 66;40;2.78
KDDK;Multimedia Production for the Internet ;14 of 40;35;5.21;14 of 40;35;5.57;14 of 40;35;4.50;14 of 40;35;5.93;14 of 40;35;2.14;14 of 40;35;4.00;14 of 40;35;2.86;14 of 40;35;3.93;14 of 40;35;4.57;14 of 40;35;4.29;14 of 40;35;3.86
KDDK;Social Software: design and implementation;7 of 21;33;5.29;7 of 21;33;5.14;7 of 21;33;4.71;7 of 21;33;4.86;7 of 21;33;3.71;7 of 21;33;4.71;7 of 21;33;2.71;7 of 21;33;5.57;7 of 21;33;5.43;7 of 21;33;3.43;7 of 21;33;2.71
KDDK;Target Group Analysis;15 of 33;45;5.07;15 of 33;45;5.80;15 of 33;45;5.20;15 of 33;45;5.33;15 of 33;45;3.40;15 of 33;45;4.80;15 of 33;45;2.13;15 of 33;45;5.20;15 of 33;45;4.73;15 of 33;45;4.87;15 of 33;45;4.67
KDDK;Usability ;16 of 29;55;5.12;16 of 29;55;5.19;16 of 29;55;5.25;16 of 29;55;5.88;16 of 29;55;2.81;16 of 29;55;3.81;16 of 29;55;3.38;16 of 29;55;4.75;16 of 29;55;5.44;16 of 29;55;3.25;16 of 29;55;2.25
KDDK;Usability ;10 of 39;25;4.10;10 of 39;25;4.20;10 of 39;25;4.70;10 of 39;25;5.70;10 of 39;25;2.90;10 of 39;25;4.00;10 of 39;25;3.70;10 of 39;25;4.30;10 of 39;25;5.50;10 of 39;25;3.80;10 of 39;25;3.60
KDDK;Web Design and Web Communication;34 of 100;34;5.35;34 of 100;34;5.03;34 of 100;34;5.18;34 of 100;34;5.38;34 of 100;34;3.47;34 of 100;34;3.74;34 of 100;34;3.29;34 of 100;34;4.56;34 of 100;34;4.53;34 of 100;34;4.50;34 of 100;34;3.88
KINT;XML-processing - methods, tools and theories;23 of 82;28;3.65;23 of 82;28;4.13;23 of 82;28;4.70;23 of 82;28;4.30;23 of 82;28;4.39;23 of 82;28;4.00;23 of 82;28;3.70;23 of 82;28;3.65;23 of 82;28;5.52;23 of 82;28;3.17;23 of 82;28;3.13
KITO;Praxis Theory;19 of 45;42;5.53;19 of 45;42;5.21;19 of 45;42;4.79;19 of 45;42;4.74;19 of 45;42;3.11;19 of 45;42;5.42;19 of 45;42;1.84;19 of 45;42;4.89;19 of 45;42;4.68;19 of 45;42;4.16;19 of 45;42;3.53
KITO;System Development 2;6 of 8;75;5.00;6 of 8;75;4.83;6 of 8;75;5.50;6 of 8;75;5.00;6 of 8;75;3.33;6 of 8;75;5.17;6 of 8;75;3.17;6 of 8;75;5.00;6 of 8;75;5.33;6 of 8;75;4.67;6 of 8;75;4.50
KMTG;Advanced Game Theory                       ;8 of 29;27;5.38;8 of 29;27;4.88;8 of 29;27;3.75;8 of 29;27;3.50;8 of 29;27;2.25;8 of 29;27;4.75;8 of 29;27;2.88;8 of 29;27;5.38;8 of 29;27;5.25;8 of 29;27;3.38;8 of 29;27;2.38
KMTG;Advanced Topics in Game Technology;6 of 19;31;3.67;6 of 19;31;4.00;6 of 19;31;4.50;6 of 19;31;4.33;6 of 19;31;5.00;6 of 19;31;4.17;6 of 19;31;3.50;6 of 19;31;3.50;6 of 19;31;4.67;6 of 19;31;4.83;6 of 19;31;4.50
KMTG;Game Design    ;13 of 37;35;5.62;13 of 37;35;5.38;13 of 37;35;5.23;13 of 37;35;5.62;13 of 37;35;2.85;13 of 37;35;3.85;13 of 37;35;3.46;13 of 37;35;4.23;13 of 37;35;5.38;13 of 37;35;4.15;13 of 37;35;3.23
KMTG;Game Theory                         ;13 of 34;38;5.31;13 of 34;38;4.85;13 of 34;38;4.23;13 of 34;38;3.15;13 of 34;38;4.00;13 of 34;38;4.77;13 of 34;38;2.92;13 of 34;38;4.85;13 of 34;38;5.38;13 of 34;38;3.62;13 of 34;38;3.31
KSDT;Advanced Algorithms;6 of 12;50;5.33;6 of 12;50;5.50;6 of 12;50;4.33;6 of 12;50;4.17;6 of 12;50;3.50;6 of 12;50;5.50;6 of 12;50;2.33;6 of 12;50;4.50;6 of 12;50;4.83;6 of 12;50;3.83;6 of 12;50;3.83
KSDT;Advanced Mobile and Distributed Systems;2 of 23;8;5.00;2 of 23;8;5.00;2 of 23;8;4.50;2 of 23;8;3.50;2 of 23;8;4.50;2 of 23;8;5.50;2 of 23;8;3.00;2 of 23;8;4.50;2 of 23;8;5.00;2 of 23;8;4.50;2 of 23;8;3.50
KSDT;Advanced Object Oriented Programming;18 of 53;33;5.39;18 of 53;33;5.11;18 of 53;33;5.50;18 of 53;33;5.17;18 of 53;33;3.28;18 of 53;33;4.33;18 of 53;33;3.33;18 of 53;33;4.50;18 of 53;33;5.61;18 of 53;33;3.06;18 of 53;33;2.67
KSDT;Modelling and Design;12 of 45;26;5.17;12 of 45;26;5.00;12 of 45;26;5.17;12 of 45;26;4.58;12 of 45;26;3.58;12 of 45;26;4.75;12 of 45;26;3.25;12 of 45;26;4.42;12 of 45;26;5.25;12 of 45;26;4.42;12 of 45;26;4.25
KSDT;Object Oriented Programming - Introduction;11 of 44;25;4.36;11 of 44;25;4.82;11 of 44;25;4.55;11 of 44;25;4.27;11 of 44;25;4.64;11 of 44;25;4.82;11 of 44;25;3.18;11 of 44;25;4.00;11 of 44;25;4.36;11 of 44;25;4.27;11 of 44;25;4.64
KSDT;Performance and Test;12 of 34;35;5.00;12 of 34;35;5.42;12 of 34;35;5.17;12 of 34;35;4.42;12 of 34;35;4.50;12 of 34;35;5.58;12 of 34;35;2.92;12 of 34;35;4.42;12 of 34;35;4.42;12 of 34;35;5.08;12 of 34;35;4.33
KSWU;Advanced IT Project Management;4 of 28;14;5.75;4 of 28;14;6.00;4 of 28;14;6.00;4 of 28;14;5.50;4 of 28;14;2.50;4 of 28;14;5.00;4 of 28;14;1.75;4 of 28;14;5.25;4 of 28;14;5.75;4 of 28;14;2.50;4 of 28;14;2.00
KSWU;Advanced IT Project Management and Software Engineering;2 of 4;50;5.50;2 of 4;50;5.50;2 of 4;50;4.50;2 of 4;50;3.50;2 of 4;50;4.50;2 of 4;50;6.00;2 of 4;50;1.00;2 of 4;50;6.00;2 of 4;50;5.50;2 of 4;50;5.00;2 of 4;50;5.00
KSWU;Design of User Interfaces and Data;4 of 23;17;4.50;4 of 23;17;5.00;4 of 23;17;4.50;4 of 23;17;5.25;4 of 23;17;2.75;4 of 23;17;4.00;4 of 23;17;3.00;4 of 23;17;3.50;4 of 23;17;5.00;4 of 23;17;3.00;4 of 23;17;3.25
KSWU;Enterprise Systems ;5 of 17;29;4.00;5 of 17;29;4.40;5 of 17;29;4.80;5 of 17;29;4.80;5 of 17;29;3.80;5 of 17;29;4.00;5 of 17;29;3.40;5 of 17;29;3.00;5 of 17;29;5.80;5 of 17;29;3.20;5 of 17;29;3.40
KSWU;IT Project Management ;11 of 43;25;5.45;11 of 43;25;4.91;11 of 43;25;5.64;11 of 43;25;5.00;11 of 43;25;3.64;11 of 43;25;3.91;11 of 43;25;3.45;11 of 43;25;4.55;11 of 43;25;5.27;11 of 43;25;3.73;11 of 43;25;2.91
KSWU;IT Project Management and Software Products    ;6 of 31;19;3.17;6 of 31;19;3.33;6 of 31;19;4.83;6 of 31;19;3.17;6 of 31;19;4.67;6 of 31;19;3.00;6 of 31;19;4.33;6 of 31;19;4.33;6 of 31;19;5.67;6 of 31;19;2.67;6 of 31;19;2.83
KSWU;IT Strategy;7 of 38;18;3.86;7 of 38;18;4.29;7 of 38;18;5.00;7 of 38;18;4.14;7 of 38;18;3.86;7 of 38;18;3.00;7 of 38;18;4.57;7 of 38;18;3.14;7 of 38;18;5.29;7 of 38;18;3.57;7 of 38;18;2.57
KSWU;Introductory Programming ;5 of 46;10;4.60;5 of 46;10;4.20;5 of 46;10;4.60;5 of 46;10;4.80;5 of 46;10;3.60;5 of 46;10;4.60;5 of 46;10;2.80;5 of 46;10;3.80;5 of 46;10;4.40;5 of 46;10;4.20;5 of 46;10;4.60
KSWU;Object-oriented Programming;9 of 39;23;5.11;9 of 39;23;4.89;9 of 39;23;4.56;9 of 39;23;4.78;9 of 39;23;3.11;9 of 39;23;4.67;9 of 39;23;2.22;9 of 39;23;3.33;9 of 39;23;4.78;9 of 39;23;4.89;9 of 39;23;4.00
