Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;B1 Strategic and tactical tools for e-business ;17 of 41;41;4.71;17 of 41;41;4.35;17 of 41;41;5.12;17 of 41;41;4.35;17 of 41;41;4.24;17 of 41;41;3.94;17 of 41;41;4.00;17 of 41;41;4.12;17 of 41;41;5.41;17 of 41;41;4.12;17 of 41;41;3.29
?;B17 ICT and Business Innovation ;5 of 23;21;3.80;5 of 23;21;3.00;5 of 23;21;4.00;5 of 23;21;3.20;5 of 23;21;4.40;5 of 23;21;5.00;5 of 23;21;2.80;5 of 23;21;4.00;5 of 23;21;3.80;5 of 23;21;4.00;5 of 23;21;3.60
?;B21 Project Management of IT Sourcing ;4 of 27;14;4.50;4 of 27;14;4.25;4 of 27;14;6.00;4 of 27;14;6.00;4 of 27;14;2.75;4 of 27;14;3.25;4 of 27;14;4.25;4 of 27;14;4.75;4 of 27;14;5.00;4 of 27;14;5.50;4 of 27;14;4.75
?;Business IT Alignment;13 of 42;30;3.92;13 of 42;30;3.38;13 of 42;30;4.85;13 of 42;30;4.08;13 of 42;30;3.77;13 of 42;30;4.23;13 of 42;30;3.38;13 of 42;30;4.31;13 of 42;30;4.92;13 of 42;30;5.15;13 of 42;30;5.00
?;Business and Management;14 of 51;27;5.29;14 of 51;27;5.36;14 of 51;27;5.64;14 of 51;27;5.00;14 of 51;27;2.50;14 of 51;27;4.36;14 of 51;27;2.36;14 of 51;27;5.29;14 of 51;27;5.36;14 of 51;27;2.86;14 of 51;27;2.57
?;Healthcare IT  -  Design and Technical Implementation;7 of 11;63;5.71;7 of 11;63;5.71;7 of 11;63;5.29;7 of 11;63;5.43;7 of 11;63;2.43;7 of 11;63;5.57;7 of 11;63;2.57;7 of 11;63;5.00;7 of 11;63;5.00;7 of 11;63;4.57;7 of 11;63;4.14
?;Healthcare IT - Organizatorial Implementation;9 of 26;34;5.00;9 of 26;34;5.33;9 of 26;34;5.11;9 of 26;34;4.78;9 of 26;34;4.33;9 of 26;34;5.11;9 of 26;34;2.33;9 of 26;34;4.78;9 of 26;34;4.56;9 of 26;34;4.56;9 of 26;34;4.56
?;IT Service Management ;3 of 12;25;5.67;3 of 12;25;5.67;3 of 12;25;4.67;3 of 12;25;4.33;3 of 12;25;4.33;3 of 12;25;4.67;3 of 12;25;3.33;3 of 12;25;5.67;3 of 12;25;4.67;3 of 12;25;4.67;3 of 12;25;3.00
?;Introductory Programming with Project - B.Sc. course;11 of 40;27;5.73;11 of 40;27;5.64;11 of 40;27;5.55;11 of 40;27;5.36;11 of 40;27;2.73;11 of 40;27;4.64;11 of 40;27;3.55;11 of 40;27;3.73;11 of 40;27;5.18;11 of 40;27;2.91;11 of 40;27;2.36
?;P5 Legal Aspects of Starting Up an IT Business ;3 of 16;18;5.33;3 of 16;18;5.67;3 of 16;18;5.33;3 of 16;18;6.00;3 of 16;18;3.33;3 of 16;18;5.00;3 of 16;18;2.00;3 of 16;18;5.00;3 of 16;18;5.67;3 of 16;18;2.33;3 of 16;18;3.00
