Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;Software acquisition and requirements;12 of 40;30;5.75;12 of 40;30;5.42;12 of 40;30;5.58;12 of 40;30;5.67;12 of 40;30;2.00;12 of 40;30;4.17;12 of 40;30;2.25;12 of 40;30;4.75;12 of 40;30;5.58;12 of 40;30;3.92;12 of 40;30;3.33
?;T1 Introduction to programming and distributed systems;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?;T13 Business Intelligence ;6 of 36;16;4.33;6 of 36;16;4.00;6 of 36;16;4.67;6 of 36;16;4.33;6 of 36;16;4.50;6 of 36;16;3.67;6 of 36;16;4.00;6 of 36;16;3.33;6 of 36;16;5.17;6 of 36;16;2.83;6 of 36;16;2.33
?;T3 HCI Human and Technology;3 of 18;16;5.67;3 of 18;16;5.33;3 of 18;16;5.33;3 of 18;16;5.67;3 of 18;16;3.33;3 of 18;16;5.00;3 of 18;16;2.00;3 of 18;16;5.33;3 of 18;16;5.67;3 of 18;16;3.33;3 of 18;16;1.67
?;T6 IT-Security  ;2 of 16;12;6.00;2 of 16;12;6.00;2 of 16;12;5.00;2 of 16;12;5.00;2 of 16;12;2.50;2 of 16;12;4.50;2 of 16;12;4.00;2 of 16;12;5.50;2 of 16;12;5.50;2 of 16;12;5.00;2 of 16;12;3.00
?;T8 Enterprise Architecture ;11 of 54;20;5.55;11 of 54;20;5.27;11 of 54;20;5.45;11 of 54;20;5.36;11 of 54;20;2.55;11 of 54;20;4.73;11 of 54;20;3.00;11 of 54;20;5.82;11 of 54;20;5.55;11 of 54;20;3.91;11 of 54;20;2.73
KDDK;Basic Graphic Design ;3 of 29;10;6.00;3 of 29;10;5.67;3 of 29;10;5.67;3 of 29;10;6.00;3 of 29;10;2.33;3 of 29;10;4.67;3 of 29;10;2.67;3 of 29;10;3.33;3 of 29;10;5.00;3 of 29;10;4.00;3 of 29;10;3.67
KDDK;Concept Development for Multimedia ;18 of 65;27;3.61;18 of 65;27;2.78;18 of 65;27;4.17;18 of 65;27;4.56;18 of 65;27;3.17;18 of 65;27;2.89;18 of 65;27;4.17;18 of 65;27;3.28;18 of 65;27;5.50;18 of 65;27;3.28;18 of 65;27;3.50
KDDK;Digital Culture;5 of 19;26;5.40;5 of 19;26;5.80;5 of 19;26;5.00;5 of 19;26;2.60;5 of 19;26;3.00;5 of 19;26;4.60;5 of 19;26;3.20;5 of 19;26;5.60;5 of 19;26;4.80;5 of 19;26;3.40;5 of 19;26;1.40
KDDK;Digital Rhetorics ;11 of 42;26;5.00;11 of 42;26;5.09;11 of 42;26;4.09;11 of 42;26;3.73;11 of 42;26;4.18;11 of 42;26;5.18;11 of 42;26;2.55;11 of 42;26;4.91;11 of 42;26;4.64;11 of 42;26;3.55;11 of 42;26;2.91
KDDK;Interaction Design;8 of 40;20;3.88;8 of 40;20;4.12;8 of 40;20;3.88;8 of 40;20;5.38;8 of 40;20;2.38;8 of 40;20;4.25;8 of 40;20;3.25;8 of 40;20;5.00;8 of 40;20;4.62;8 of 40;20;5.50;8 of 40;20;5.62
KDDK;Introduction to Scripting, Databases and System Architecture;28 of 103;27;4.11;28 of 103;27;5.36;28 of 103;27;3.71;28 of 103;27;5.18;28 of 103;27;3.11;28 of 103;27;4.21;28 of 103;27;2.07;28 of 103;27;3.75;28 of 103;27;3.82;28 of 103;27;4.21;28 of 103;27;3.79
KDDK;Introductory 3D;13 of 32;40;5.46;13 of 32;40;5.46;13 of 32;40;4.69;13 of 32;40;5.38;13 of 32;40;3.54;13 of 32;40;4.08;13 of 32;40;3.38;13 of 32;40;3.54;13 of 32;40;4.85;13 of 32;40;4.08;13 of 32;40;2.31
KDDK;Media and Communication;9 of 40;22;5.56;9 of 40;22;5.44;9 of 40;22;5.33;9 of 40;22;3.67;9 of 40;22;3.33;9 of 40;22;5.11;9 of 40;22;2.44;9 of 40;22;5.22;9 of 40;22;4.78;9 of 40;22;4.11;9 of 40;22;3.33
KDDK;Multimedia Production for the Internet ;2 of 35;5;3.00;2 of 35;5;2.00;2 of 35;5;3.50;2 of 35;5;4.50;2 of 35;5;3.00;2 of 35;5;2.50;2 of 35;5;5.00;2 of 35;5;2.00;2 of 35;5;4.00;2 of 35;5;4.50;2 of 35;5;3.00
KDDK;Multimedia Production for the Internet ;5 of 39;12;4.00;5 of 39;12;2.80;5 of 39;12;3.40;5 of 39;12;4.80;5 of 39;12;3.80;5 of 39;12;3.40;5 of 39;12;2.40;5 of 39;12;3.20;5 of 39;12;4.20;5 of 39;12;3.20;5 of 39;12;2.60
KDDK;Social Software: design and implementation;2 of 14;14;5.50;2 of 14;14;5.50;2 of 14;14;5.00;2 of 14;14;6.00;2 of 14;14;3.50;2 of 14;14;5.50;2 of 14;14;2.50;2 of 14;14;5.50;2 of 14;14;4.50;2 of 14;14;3.50;2 of 14;14;2.50
KDDK;Target Group Analysis;11 of 29;37;5.18;11 of 29;37;5.36;11 of 29;37;5.18;11 of 29;37;5.45;11 of 29;37;2.82;11 of 29;37;4.09;11 of 29;37;2.64;11 of 29;37;4.91;11 of 29;37;5.55;11 of 29;37;4.64;11 of 29;37;4.27
KDDK;Target Group Analysis;4 of 14;28;5.00;4 of 14;28;5.50;4 of 14;28;5.75;4 of 14;28;5.00;4 of 14;28;3.75;4 of 14;28;4.50;4 of 14;28;1.75;4 of 14;28;4.50;4 of 14;28;4.75;4 of 14;28;5.50;4 of 14;28;5.25
KDDK;Usability;7 of 22;31;5.86;7 of 22;31;5.29;7 of 22;31;4.71;7 of 22;31;5.29;7 of 22;31;3.43;7 of 22;31;4.29;7 of 22;31;3.86;7 of 22;31;5.14;7 of 22;31;5.29;7 of 22;31;3.86;7 of 22;31;3.43
KDDK;Usability with Project;7 of 31;22;3.00;7 of 31;22;2.29;7 of 31;22;5.00;7 of 31;22;2.29;7 of 31;22;5.43;7 of 31;22;5.57;7 of 31;22;1.57;7 of 31;22;3.43;7 of 31;22;4.57;7 of 31;22;5.14;7 of 31;22;4.71
KDDK;Web Design and Web Communication;16 of 64;25;4.75;16 of 64;25;4.12;16 of 64;25;4.88;16 of 64;25;5.25;16 of 64;25;3.50;16 of 64;25;4.00;16 of 64;25;3.19;16 of 64;25;4.00;16 of 64;25;5.31;16 of 64;25;3.56;16 of 64;25;3.19
KINT;Interactive Web Services with Java and XML;10 of 52;19;4.70;10 of 52;19;3.90;10 of 52;19;4.70;10 of 52;19;4.60;10 of 52;19;3.90;10 of 52;19;4.00;10 of 52;19;3.10;10 of 52;19;3.50;10 of 52;19;5.00;10 of 52;19;3.50;10 of 52;19;3.10
KMTG;DADIU Specialisation, Part I;1 of 5;20;6.00;1 of 5;20;3.00;1 of 5;20;6.00;1 of 5;20;6.00;1 of 5;20;5.00;1 of 5;20;1.00;1 of 5;20;2.00;1 of 5;20;1.00;1 of 5;20;5.00;1 of 5;20;5.00;1 of 5;20;5.00
KMTG;Game Culture                 ;7 of 21;33;5.00;7 of 21;33;4.71;7 of 21;33;3.86;7 of 21;33;3.43;7 of 21;33;3.00;7 of 21;33;5.00;7 of 21;33;3.57;7 of 21;33;5.29;7 of 21;33;5.14;7 of 21;33;3.43;7 of 21;33;2.71
KMTG;Game Development        ;9 of 34;26;3.89;9 of 34;26;3.67;9 of 34;26;4.67;9 of 34;26;5.44;9 of 34;26;2.22;9 of 34;26;2.22;9 of 34;26;5.00;9 of 34;26;2.56;9 of 34;26;5.11;9 of 34;26;3.78;9 of 34;26;3.56
KSDT;Advanced Models and Programs;4 of 20;20;5.75;4 of 20;20;5.00;4 of 20;20;5.00;4 of 20;20;4.00;4 of 20;20;1.50;4 of 20;20;5.25;4 of 20;20;2.75;4 of 20;20;3.25;4 of 20;20;5.50;4 of 20;20;3.25;4 of 20;20;2.50
KSDT;Database Tuning;5 of 29;17;5.40;5 of 29;17;5.20;5 of 29;17;4.80;5 of 29;17;4.60;5 of 29;17;5.00;5 of 29;17;4.80;5 of 29;17;3.20;5 of 29;17;4.00;5 of 29;17;4.80;5 of 29;17;5.20;5 of 29;17;4.40
KSDT;Efficient AI Programming;9 of 40;22;5.44;9 of 40;22;5.11;9 of 40;22;5.00;9 of 40;22;4.78;9 of 40;22;3.11;9 of 40;22;5.11;9 of 40;22;3.78;9 of 40;22;4.89;9 of 40;22;5.22;9 of 40;22;3.33;9 of 40;22;2.56
KSDT;Mobile and Distributed Systems;7 of 42;16;3.71;7 of 42;16;3.86;7 of 42;16;3.86;7 of 42;16;3.43;7 of 42;16;4.43;7 of 42;16;4.29;7 of 42;16;2.43;7 of 42;16;3.57;7 of 42;16;4.43;7 of 42;16;4.86;7 of 42;16;5.29
KSDT;Modelling and Design;9 of 31;29;4.56;9 of 31;29;4.33;9 of 31;29;4.44;9 of 31;29;4.00;9 of 31;29;5.00;9 of 31;29;4.89;9 of 31;29;3.11;9 of 31;29;3.78;9 of 31;29;3.56;9 of 31;29;3.89;9 of 31;29;3.33
KSDT;Object Oriented Programming - Introduction;5 of 29;17;5.20;5 of 29;17;5.00;5 of 29;17;5.60;5 of 29;17;5.00;5 of 29;17;3.60;5 of 29;17;4.80;5 of 29;17;3.00;5 of 29;17;4.20;5 of 29;17;4.20;5 of 29;17;4.80;5 of 29;17;3.80
KSDT;Performance and Test;7 of 30;23;4.29;7 of 30;23;4.14;7 of 30;23;5.29;7 of 30;23;5.29;7 of 30;23;3.00;7 of 30;23;4.43;7 of 30;23;4.00;7 of 30;23;3.57;7 of 30;23;4.86;7 of 30;23;4.29;7 of 30;23;3.57
KSWU;Advanced Software Engineering;4 of 13;30;5.00;4 of 13;30;5.50;4 of 13;30;4.50;4 of 13;30;3.75;4 of 13;30;4.00;4 of 13;30;5.25;4 of 13;30;3.25;4 of 13;30;5.50;4 of 13;30;5.25;4 of 13;30;4.00;4 of 13;30;3.00
KSWU;Design of User Interfaces and Data;4 of 25;16;5.75;4 of 25;16;5.50;4 of 25;16;5.25;4 of 25;16;5.25;4 of 25;16;2.75;4 of 25;16;4.50;4 of 25;16;3.25;4 of 25;16;4.00;4 of 25;16;5.75;4 of 25;16;2.25;4 of 25;16;2.25
KSWU;IT Project Management ;12 of 47;25;4.00;12 of 47;25;3.75;12 of 47;25;4.92;12 of 47;25;4.42;12 of 47;25;4.33;12 of 47;25;4.00;12 of 47;25;3.92;12 of 47;25;4.17;12 of 47;25;4.75;12 of 47;25;4.17;12 of 47;25;3.58
KSWU;IT Project Management and Software Products    ;7 of 25;28;4.71;7 of 25;28;5.00;7 of 25;28;5.00;7 of 25;28;4.86;7 of 25;28;4.00;7 of 25;28;2.86;7 of 25;28;3.57;7 of 25;28;4.71;7 of 25;28;5.57;7 of 25;28;3.43;7 of 25;28;2.14
KSWU;Introductory Programming ;9 of 49;18;5.33;9 of 49;18;5.33;9 of 49;18;4.11;9 of 49;18;4.67;9 of 49;18;3.56;9 of 49;18;4.56;9 of 49;18;2.78;9 of 49;18;4.56;9 of 49;18;4.89;9 of 49;18;4.00;9 of 49;18;3.44
KSWU;Object-oriented Programming;7 of 26;26;4.71;7 of 26;26;4.86;7 of 26;26;4.86;7 of 26;26;4.29;7 of 26;26;3.71;7 of 26;26;5.29;7 of 26;26;1.86;7 of 26;26;4.43;7 of 26;26;5.00;7 of 26;26;4.86;7 of 26;26;4.57
KSWU;Outsourcing;7 of 26;26;5.00;7 of 26;26;5.14;7 of 26;26;4.86;7 of 26;26;5.86;7 of 26;26;2.57;7 of 26;26;3.00;7 of 26;26;3.71;7 of 26;26;3.71;7 of 26;26;5.14;7 of 26;26;3.00;7 of 26;26;2.14
