Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;Algorithms and Data Structures - B.Sc. course;10 of 34;29;5.00;10 of 34;29;5.10;10 of 34;29;5.30;10 of 34;29;4.20;10 of 34;29;4.00;10 of 34;29;5.60;10 of 34;29;1.90;10 of 34;29;4.80;10 of 34;29;4.60;10 of 34;29;3.80;10 of 34;29;4.00
?;B1 Strategic and tactical tools for e-business ;2 of 21;9;5.00;2 of 21;9;5.00;2 of 21;9;5.00;2 of 21;9;3.50;2 of 21;9;5.00;2 of 21;9;5.00;2 of 21;9;3.50;2 of 21;9;3.50;2 of 21;9;4.00;2 of 21;9;4.00;2 of 21;9;2.50
?;B12 Marketing og E-business ;5 of 31;16;3.60;5 of 31;16;3.80;5 of 31;16;4.00;5 of 31;16;3.00;5 of 31;16;5.60;5 of 31;16;4.80;5 of 31;16;2.20;5 of 31;16;3.40;5 of 31;16;4.80;5 of 31;16;3.80;5 of 31;16;4.80
?;B19 IT-Strategy;10 of 33;30;3.90;10 of 33;30;2.90;10 of 33;30;4.90;10 of 33;30;4.50;10 of 33;30;4.30;10 of 33;30;2.90;10 of 33;30;4.50;10 of 33;30;2.80;10 of 33;30;5.70;10 of 33;30;2.90;10 of 33;30;3.00
?;B9 Knowledge Management;1 of 18;5;4.00;1 of 18;5;4.00;1 of 18;5;6.00;1 of 18;5;6.00;1 of 18;5;6.00;1 of 18;5;6.00;1 of 18;5;6.00;1 of 18;5;6.00;1 of 18;5;6.00;1 of 18;5;6.00;1 of 18;5;6.00
?;HealthcareIT - Concepts and Systems;2 of 10;20;5.50;2 of 10;20;5.50;2 of 10;20;6.00;2 of 10;20;5.50;2 of 10;20;4.00;2 of 10;20;6.00;2 of 10;20;3.50;2 of 10;20;5.50;2 of 10;20;5.00;2 of 10;20;6.00;2 of 10;20;5.50
?;IT Architecture and Security;12 of 57;21;5.58;12 of 57;21;5.33;12 of 57;21;5.42;12 of 57;21;4.92;12 of 57;21;2.92;12 of 57;21;5.00;12 of 57;21;2.50;12 of 57;21;4.67;12 of 57;21;5.08;12 of 57;21;3.75;12 of 57;21;3.75
?;Object Oriented Software Construktion - B.Sc. course;10 of 34;29;4.60;10 of 34;29;3.90;10 of 34;29;5.00;10 of 34;29;4.30;10 of 34;29;4.70;10 of 34;29;3.30;10 of 34;29;4.50;10 of 34;29;3.10;10 of 34;29;5.50;10 of 34;29;2.70;10 of 34;29;2.50
?;P1 National Internet Law;5 of 24;20;5.00;5 of 24;20;5.00;5 of 24;20;4.80;5 of 24;20;4.60;5 of 24;20;3.80;5 of 24;20;5.20;5 of 24;20;2.00;5 of 24;20;4.00;5 of 24;20;4.00;5 of 24;20;5.00;5 of 24;20;4.00
?;Personal Management and Change Management;5 of 23;21;5.00;5 of 23;21;4.40;5 of 23;21;5.20;5 of 23;21;4.80;5 of 23;21;4.40;5 of 23;21;3.60;5 of 23;21;2.60;5 of 23;21;5.20;5 of 23;21;5.80;5 of 23;21;4.60;5 of 23;21;4.60
