Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;3D Beginner;4 of 24;16;6.00;4 of 24;16;5.75;4 of 24;16;5.25;4 of 24;16;5.75;4 of 24;16;2.00;4 of 24;16;2.75;4 of 24;16;1.75;4 of 24;16;2.75;4 of 24;16;4.25;4 of 24;16;2.50;4 of 24;16;2.50
KDKM;Advanced 3D Modelling;4 of 14;28;4.75;4 of 14;28;5.50;4 of 14;28;5.25;4 of 14;28;5.75;4 of 14;28;2.25;4 of 14;28;3.75;4 of 14;28;4.50;4 of 14;28;4.50;4 of 14;28;5.75;4 of 14;28;4.00;4 of 14;28;3.75
KDKM;Advanced Digital Sound Processing;5 of 18;27;5.80;5 of 18;27;4.60;5 of 18;27;5.40;5 of 18;27;4.40;5 of 18;27;3.80;5 of 18;27;3.60;5 of 18;27;3.80;5 of 18;27;4.20;5 of 18;27;5.40;5 of 18;27;3.40;5 of 18;27;3.20
KDKM;Advanced Multimedia Production at the Internet;11 of 32;34;5.18;11 of 32;34;5.18;11 of 32;34;5.09;11 of 32;34;5.45;11 of 32;34;2.73;11 of 32;34;3.73;11 of 32;34;2.82;11 of 32;34;3.82;11 of 32;34;4.55;11 of 32;34;4.55;11 of 32;34;3.82
KDKM;Analysis of Web Behavior (16:00-21.30);8 of 21;38;5.50;8 of 21;38;5.88;8 of 21;38;5.88;8 of 21;38;5.88;8 of 21;38;2.12;8 of 21;38;3.88;8 of 21;38;3.00;8 of 21;38;4.25;8 of 21;38;5.25;8 of 21;38;4.12;8 of 21;38;2.12
KDKM;Basic Web Design (12:30-18:30);19 of 60;31;5.21;19 of 60;31;4.89;19 of 60;31;5.32;19 of 60;31;5.95;19 of 60;31;2.63;19 of 60;31;2.68;19 of 60;31;3.37;19 of 60;31;2.89;19 of 60;31;4.79;19 of 60;31;4.68;19 of 60;31;3.53
KDKM;Computer Games;11 of 26;42;3.55;11 of 26;42;3.82;11 of 26;42;3.36;11 of 26;42;3.18;11 of 26;42;4.36;11 of 26;42;4.00;11 of 26;42;3.55;11 of 26;42;4.36;11 of 26;42;4.18;11 of 26;42;3.18;11 of 26;42;3.45
KDKM;Concept Development for Multimedia;23 of 58;39;4.96;23 of 58;39;4.57;23 of 58;39;4.78;23 of 58;39;5.48;23 of 58;39;2.74;23 of 58;39;2.87;23 of 58;39;4.00;23 of 58;39;4.13;23 of 58;39;5.35;23 of 58;39;4.00;23 of 58;39;2.87
KDKM;Database-based Web Publishing (12:30-18:30);19 of 58;32;4.74;19 of 58;32;5.00;19 of 58;32;4.79;19 of 58;32;5.21;19 of 58;32;2.68;19 of 58;32;3.26;19 of 58;32;3.26;19 of 58;32;4.47;19 of 58;32;5.32;19 of 58;32;3.53;19 of 58;32;2.58
KDKM;Digital Video Communication;10 of 20;50;5.00;10 of 20;50;5.20;10 of 20;50;3.70;10 of 20;50;4.60;10 of 20;50;4.70;10 of 20;50;3.90;10 of 20;50;3.30;10 of 20;50;4.20;10 of 20;50;4.20;10 of 20;50;4.10;10 of 20;50;3.50
KDKM;IT Sociology;5 of 18;27;4.40;5 of 18;27;4.40;5 of 18;27;3.80;5 of 18;27;2.40;5 of 18;27;5.00;5 of 18;27;5.00;5 of 18;27;3.80;5 of 18;27;4.80;5 of 18;27;5.20;5 of 18;27;4.20;5 of 18;27;3.40
KDKM;Interaction Design;21 of 44;47;5.10;21 of 44;47;5.38;21 of 44;47;4.76;21 of 44;47;5.05;21 of 44;47;3.19;21 of 44;47;4.14;21 of 44;47;2.76;21 of 44;47;5.33;21 of 44;47;4.86;21 of 44;47;3.48;21 of 44;47;2.52
KDKM;Introduction to IT as Media;13 of 27;48;4.08;13 of 27;48;4.38;13 of 27;48;3.54;13 of 27;48;2.77;13 of 27;48;4.15;13 of 27;48;4.85;13 of 27;48;2.92;13 of 27;48;3.77;13 of 27;48;5.08;13 of 27;48;2.69;13 of 27;48;2.08
KDKM;Learning and IT;12 of 31;38;5.33;12 of 31;38;5.25;12 of 31;38;5.17;12 of 31;38;4.75;12 of 31;38;3.92;12 of 31;38;5.17;12 of 31;38;2.42;12 of 31;38;5.42;12 of 31;38;5.17;12 of 31;38;4.67;12 of 31;38;4.25
KDKM;Target Group Analysis;12 of 27;44;5.00;12 of 27;44;5.00;12 of 27;44;5.00;12 of 27;44;5.33;12 of 27;44;2.42;12 of 27;44;3.75;12 of 27;44;3.42;12 of 27;44;4.58;12 of 27;44;5.00;12 of 27;44;3.75;12 of 27;44;2.92
KDKM;Text Communication at the Internet (12:30-18:30);10 of 34;29;5.20;10 of 34;29;5.10;10 of 34;29;5.30;10 of 34;29;5.70;10 of 34;29;2.40;10 of 34;29;3.30;10 of 34;29;3.80;10 of 34;29;5.00;10 of 34;29;5.90;10 of 34;29;3.20;10 of 34;29;2.00
KDKM;Usability (12:30-18:30);22 of 42;52;5.27;22 of 42;52;5.36;22 of 42;52;4.95;22 of 42;52;5.36;22 of 42;52;2.36;22 of 42;52;4.82;22 of 42;52;2.86;22 of 42;52;5.09;22 of 42;52;5.59;22 of 42;52;3.50;22 of 42;52;2.55
KEBUSS;Applied Network and Operating System Concepts;7 of 26;26;5.43;7 of 26;26;5.43;7 of 26;26;4.43;7 of 26;26;4.71;7 of 26;26;4.57;7 of 26;26;4.71;7 of 26;26;2.14;7 of 26;26;4.71;7 of 26;26;4.71;7 of 26;26;4.14;7 of 26;26;3.57
KEBUSS;B1 Tactical and strategic tools for e-business;7 of 24;29;5.00;7 of 24;29;4.71;7 of 24;29;4.86;7 of 24;29;4.14;7 of 24;29;4.29;7 of 24;29;5.29;7 of 24;29;2.29;7 of 24;29;4.29;7 of 24;29;4.43;7 of 24;29;4.71;7 of 24;29;3.86
KEBUSS;B10 Videnskabsteori og e-handel;2 of 8;25;4.50;2 of 8;25;4.00;2 of 8;25;2.50;2 of 8;25;2.00;2 of 8;25;3.00;2 of 8;25;4.50;2 of 8;25;2.00;2 of 8;25;6.00;2 of 8;25;5.00;2 of 8;25;2.00;2 of 8;25;1.00
KEBUSS;B14 Economics of Information Technology;10 of 28;35;5.10;10 of 28;35;5.30;10 of 28;35;5.00;10 of 28;35;4.80;10 of 28;35;3.40;10 of 28;35;3.70;10 of 28;35;3.50;10 of 28;35;5.00;10 of 28;35;5.10;10 of 28;35;2.20;10 of 28;35;2.30
KEBUSS;B15 From Idea to Growth - Managing Innovation;9 of 21;42;5.33;9 of 21;42;4.56;9 of 21;42;5.11;9 of 21;42;5.56;9 of 21;42;1.56;9 of 21;42;3.11;9 of 21;42;4.11;9 of 21;42;3.89;9 of 21;42;4.89;9 of 21;42;2.33;9 of 21;42;2.33
