Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KMMT;Signal Processing;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KMMT;Virtual Reality Systems;2 of 4;50;5.50;2 of 4;50;6.00;2 of 4;50;5.50;2 of 4;50;6.00;2 of 4;50;1.00;2 of 4;50;5.50;2 of 4;50;1.50;2 of 4;50;5.00;2 of 4;50;5.50;2 of 4;50;5.50;2 of 4;50;5.50
KSWU;Advanced Object Oriented Programming;25 of 68;36;4.72;25 of 68;36;4.48;25 of 68;36;5.00;25 of 68;36;4.28;25 of 68;36;4.48;25 of 68;36;3.96;25 of 68;36;4.04;25 of 68;36;4.80;25 of 68;36;5.20;25 of 68;36;3.32;25 of 68;36;2.60
KSWU;Database Systems;9 of 26;34;5.11;9 of 26;34;5.11;9 of 26;34;5.00;9 of 26;34;5.11;9 of 26;34;3.00;9 of 26;34;3.22;9 of 26;34;2.78;9 of 26;34;3.78;9 of 26;34;5.00;9 of 26;34;4.00;9 of 26;34;2.89
KSWU;Design of User Interfaces and Data;11 of 21;52;5.55;11 of 21;52;5.73;11 of 21;52;4.73;11 of 21;52;5.82;11 of 21;52;2.64;11 of 21;52;4.00;11 of 21;52;2.18;11 of 21;52;4.27;11 of 21;52;5.09;11 of 21;52;3.82;11 of 21;52;3.09
KSWU;Enterprise Systems;7 of 19;36;5.57;7 of 19;36;5.00;7 of 19;36;5.43;7 of 19;36;5.29;7 of 19;36;3.00;7 of 19;36;4.57;7 of 19;36;2.71;7 of 19;36;4.71;7 of 19;36;5.29;7 of 19;36;3.86;7 of 19;36;3.71
KSWU;IT Platforms and Organisation;4 of 8;50;3.75;4 of 8;50;3.50;4 of 8;50;4.75;4 of 8;50;4.25;4 of 8;50;5.25;4 of 8;50;3.75;4 of 8;50;3.50;4 of 8;50;4.00;4 of 8;50;4.75;4 of 8;50;3.00;4 of 8;50;2.25
KSWU;IT Project Management;10 of 21;47;5.10;10 of 21;47;5.10;10 of 21;47;5.20;10 of 21;47;4.60;10 of 21;47;4.40;10 of 21;47;4.30;10 of 21;47;3.00;10 of 21;47;5.20;10 of 21;47;5.50;10 of 21;47;2.80;10 of 21;47;2.90
KSWU;IT Strategy;8 of 19;42;4.50;8 of 19;42;3.62;8 of 19;42;4.62;8 of 19;42;4.50;8 of 19;42;4.00;8 of 19;42;3.50;8 of 19;42;4.88;8 of 19;42;3.25;8 of 19;42;5.38;8 of 19;42;4.62;8 of 19;42;3.50
KSWU;Introduction to Algorithms and Data Structures;12 of 28;42;5.67;12 of 28;42;5.67;12 of 28;42;4.67;12 of 28;42;3.58;12 of 28;42;3.33;12 of 28;42;5.08;12 of 28;42;2.42;12 of 28;42;4.75;12 of 28;42;5.00;12 of 28;42;4.42;12 of 28;42;3.75
KSWU;Introductory Programming;17 of 36;47;4.76;17 of 36;47;5.24;17 of 36;47;4.71;17 of 36;47;4.41;17 of 36;47;4.12;17 of 36;47;4.94;17 of 36;47;1.82;17 of 36;47;3.76;17 of 36;47;3.65;17 of 36;47;4.41;17 of 36;47;4.12
KSWU;Location Based Mobile Applications;15 of 53;28;5.07;15 of 53;28;4.53;15 of 53;28;4.87;15 of 53;28;4.00;15 of 53;28;4.80;15 of 53;28;4.40;15 of 53;28;3.60;15 of 53;28;4.73;15 of 53;28;5.60;15 of 53;28;3.67;15 of 53;28;3.60
KSWU;Object Oriented Programming;14 of 35;40;5.57;14 of 35;40;5.36;14 of 35;40;5.21;14 of 35;40;4.64;14 of 35;40;4.14;14 of 35;40;5.00;14 of 35;40;2.50;14 of 35;40;4.71;14 of 35;40;4.93;14 of 35;40;5.00;14 of 35;40;4.64
KSWU;Participatory Design;10 of 23;43;5.40;10 of 23;43;5.40;10 of 23;43;5.40;10 of 23;43;5.60;10 of 23;43;2.10;10 of 23;43;4.40;10 of 23;43;2.60;10 of 23;43;4.30;10 of 23;43;5.40;10 of 23;43;3.70;10 of 23;43;3.60
KSWU;Programming Languages, Interpreters and Compilers;10 of 19;52;5.30;10 of 19;52;5.60;10 of 19;52;4.70;10 of 19;52;4.20;10 of 19;52;3.10;10 of 19;52;5.20;10 of 19;52;2.10;10 of 19;52;4.80;10 of 19;52;5.20;10 of 19;52;4.40;10 of 19;52;3.90
KSWU;Software Engineering;11 of 42;26;4.73;11 of 42;26;4.73;11 of 42;26;5.36;11 of 42;26;5.00;11 of 42;26;3.91;11 of 42;26;4.36;11 of 42;26;3.45;11 of 42;26;4.18;11 of 42;26;5.36;11 of 42;26;5.18;11 of 42;26;4.82
KTIT;Advanced Topics in Databases;2 of 3;66;6.00;2 of 3;66;4.50;2 of 3;66;4.50;2 of 3;66;4.00;2 of 3;66;2.50;2 of 3;66;6.00;2 of 3;66;2.50;2 of 3;66;5.00;2 of 3;66;5.50;2 of 3;66;3.00;2 of 3;66;2.50
KTIT;Algorithm Design with Internet Applications;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Computational Linguistics;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Databases;3 of 5;60;5.67;3 of 5;60;5.67;3 of 5;60;4.67;3 of 5;60;5.33;3 of 5;60;3.67;3 of 5;60;5.67;3 of 5;60;1.67;3 of 5;60;5.00;3 of 5;60;5.67;3 of 5;60;2.67;3 of 5;60;2.00
KTIT;Design in an Organizational Context;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
