Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;Dynamic Web Design;4 of 13;30;5.25;4 of 13;30;4.50;4 of 13;30;5.00;4 of 13;30;5.25;4 of 13;30;2.25;4 of 13;30;2.00;4 of 13;30;4.50;4 of 13;30;2.75;4 of 13;30;5.75;4 of 13;30;3.75;4 of 13;30;2.25
?;Enterprise Systems ;2 of 26;7;4.00;2 of 26;7;4.00;2 of 26;7;4.50;2 of 26;7;4.00;2 of 26;7;3.50;2 of 26;7;3.50;2 of 26;7;3.50;2 of 26;7;4.00;2 of 26;7;3.50;2 of 26;7;4.50;2 of 26;7;4.00
?;Healthcare IT  - Organizatorial Modified Systems;2 of 7;28;5.00;2 of 7;28;5.50;2 of 7;28;5.00;2 of 7;28;5.00;2 of 7;28;3.00;2 of 7;28;6.00;2 of 7;28;1.00;2 of 7;28;5.00;2 of 7;28;4.00;2 of 7;28;5.50;2 of 7;28;4.50
?;Healthcare IT  - Technical Implementation;5 of 12;41;5.00;5 of 12;41;5.20;5 of 12;41;4.40;5 of 12;41;4.60;5 of 12;41;4.80;5 of 12;41;5.80;5 of 12;41;1.20;5 of 12;41;5.00;5 of 12;41;3.80;5 of 12;41;5.20;5 of 12;41;3.80
?;Healthcare IT  - prestudy and design;6 of 13;46;5.67;6 of 13;46;5.67;6 of 13;46;5.33;6 of 13;46;5.67;6 of 13;46;2.50;5 of 13;38;5.00;6 of 13;46;2.00;6 of 13;46;4.83;6 of 13;46;4.17;6 of 13;46;5.67;6 of 13;46;4.67
?;Healthcare IT - Organizatorial Implementation;1 of 4;25;6.00;1 of 4;25;6.00;1 of 4;25;6.00;1 of 4;25;5.00;1 of 4;25;3.00;1 of 4;25;6.00;1 of 4;25;1.00;1 of 4;25;6.00;1 of 4;25;5.00;1 of 4;25;6.00;1 of 4;25;4.00
?;IT Project Management ;4 of 38;10;4.75;4 of 38;10;4.00;4 of 38;10;5.75;4 of 38;10;4.75;4 of 38;10;3.50;4 of 38;10;4.50;4 of 38;10;3.25;4 of 38;10;4.00;4 of 38;10;5.25;4 of 38;10;3.75;4 of 38;10;3.50
?;IT Project Management and Software Products    ;7 of 24;29;4.57;7 of 24;29;5.00;7 of 24;29;5.29;7 of 24;29;5.14;7 of 24;29;3.57;7 of 24;29;3.57;7 of 24;29;3.43;7 of 24;29;4.86;7 of 24;29;5.14;7 of 24;29;3.86;7 of 24;29;3.00
?;IT Service Management ;7 of 15;46;5.43;7 of 15;46;5.86;7 of 15;46;5.71;7 of 15;46;5.29;7 of 15;46;2.29;7 of 15;46;4.43;7 of 15;46;2.71;7 of 15;46;5.43;7 of 15;46;5.14;7 of 15;46;4.43;7 of 15;46;4.14
?;IT Strategy;2 of 21;9;4.50;2 of 21;9;4.00;2 of 21;9;4.50;2 of 21;9;5.00;2 of 21;9;3.50;2 of 21;9;3.50;2 of 21;9;2.50;2 of 21;9;3.00;2 of 21;9;4.50;2 of 21;9;3.00;2 of 21;9;2.50
?;Interactive Multimedia (replacement for Multimedia Production for the Internet);5 of 22;22;5.40;5 of 22;22;5.80;5 of 22;22;5.00;5 of 22;22;5.40;5 of 22;22;1.60;5 of 22;22;4.00;5 of 22;22;2.40;4 of 22;18;3.75;5 of 22;22;5.00;5 of 22;22;4.60;5 of 22;22;2.60
?;Introduction to Interaction Design;39 of 72;54;5.00;39 of 72;54;4.38;39 of 72;54;4.69;39 of 72;54;5.51;37 of 72;51;3.16;37 of 72;51;4.11;38 of 72;52;3.47;39 of 72;54;4.67;39 of 72;54;5.18;38 of 72;52;3.55;39 of 72;54;3.18
?;Introduction to Media and Communication;39 of 72;54;5.64;39 of 72;54;5.54;39 of 72;54;4.77;39 of 72;54;4.18;37 of 72;51;3.97;39 of 72;54;5.21;39 of 72;54;1.95;39 of 72;54;5.33;39 of 72;54;5.10;39 of 72;54;3.92;38 of 72;52;3.32
?;Introductory Programming ;14 of 59;23;4.29;14 of 59;23;3.64;14 of 59;23;4.93;14 of 59;23;4.79;14 of 59;23;3.29;14 of 59;23;3.21;14 of 59;23;2.64;13 of 59;22;3.92;14 of 59;23;4.43;14 of 59;23;3.86;14 of 59;23;3.64
?;Introductory Programming with Project;24 of 51;47;5.50;25 of 51;49;5.76;24 of 51;47;5.96;25 of 51;49;5.36;24 of 51;47;3.67;25 of 51;49;4.08;25 of 51;49;3.60;22 of 51;43;4.41;25 of 51;49;5.28;25 of 51;49;3.44;25 of 51;49;2.76
?;Learning and IT ;9 of 21;42;4.44;9 of 21;42;4.22;8 of 21;38;4.75;8 of 21;38;4.88;9 of 21;42;3.22;9 of 21;42;4.22;9 of 21;42;4.00;9 of 21;42;4.11;9 of 21;42;5.56;9 of 21;42;3.56;9 of 21;42;2.33
?;Object Oriented Programming;8 of 24;33;5.25;8 of 24;33;4.88;8 of 24;33;5.38;8 of 24;33;4.88;8 of 24;33;3.25;8 of 24;33;4.38;8 of 24;33;3.25;8 of 24;33;4.25;8 of 24;33;5.62;8 of 24;33;3.38;8 of 24;33;3.12
?;Operating Systems and C;5 of 25;20;4.40;5 of 25;20;3.40;5 of 25;20;5.00;5 of 25;20;3.60;5 of 25;20;3.40;4 of 25;16;3.75;4 of 25;16;4.00;5 of 25;20;4.00;5 of 25;20;5.00;5 of 25;20;3.20;5 of 25;20;2.80
?;P1 National Internet Law;17 of 55;30;5.12;17 of 55;30;5.24;17 of 55;30;4.88;17 of 55;30;4.65;17 of 55;30;3.94;17 of 55;30;5.29;17 of 55;30;2.24;17 of 55;30;4.88;17 of 55;30;5.06;17 of 55;30;3.94;17 of 55;30;2.82
?;Personal Management and Change Management;3 of 18;16;5.33;3 of 18;16;5.00;3 of 18;16;5.67;3 of 18;16;5.33;3 of 18;16;2.33;3 of 18;16;3.00;3 of 18;16;4.33;3 of 18;16;4.67;3 of 18;16;5.00;3 of 18;16;3.33;3 of 18;16;4.33
?;Presentation and Investigation;12 of 37;32;3.83;12 of 37;32;4.25;12 of 37;32;3.83;12 of 37;32;4.25;12 of 37;32;4.42;12 of 37;32;3.08;12 of 37;32;3.75;12 of 37;32;3.75;12 of 37;32;5.17;12 of 37;32;3.42;12 of 37;32;2.75
?;Programs as Data;6 of 29;20;5.00;6 of 29;20;5.33;6 of 29;20;4.67;6 of 29;20;4.17;6 of 29;20;3.33;6 of 29;20;5.33;6 of 29;20;1.33;5 of 29;17;5.20;6 of 29;20;5.00;6 of 29;20;4.50;6 of 29;20;3.83
?;Project work and Communication;24 of 51;47;4.50;23 of 51;45;4.83;24 of 51;47;4.21;23 of 51;45;3.96;23 of 51;45;4.09;24 of 51;47;5.08;24 of 51;47;2.67;23 of 51;45;4.91;23 of 51;45;5.13;24 of 51;47;3.29;24 of 51;47;3.12
?;Software Architecture;4 of 41;9;5.00;4 of 41;9;4.00;4 of 41;9;5.25;4 of 41;9;4.25;4 of 41;9;3.50;4 of 41;9;4.50;4 of 41;9;2.75;4 of 41;9;3.75;4 of 41;9;4.25;4 of 41;9;3.50;4 of 41;9;3.00
?;Systematic design of User Interfaces;25 of 51;49;3.84;25 of 51;49;3.92;25 of 51;49;4.56;24 of 51;47;4.58;23 of 51;45;3.78;25 of 51;49;4.44;24 of 51;47;2.38;24 of 51;47;3.96;25 of 51;49;4.92;25 of 51;49;3.56;25 of 51;49;3.56
?;T1 Introduction to programming and distributed systems;19 of 49;38;4.47;19 of 49;38;4.74;19 of 49;38;3.74;19 of 49;38;4.11;19 of 49;38;3.84;19 of 49;38;5.26;19 of 49;38;1.89;19 of 49;38;4.00;19 of 49;38;3.37;19 of 49;38;4.74;19 of 49;38;4.58
?;T13 Business Intelligence ;7 of 24;29;4.00;7 of 24;29;3.86;7 of 24;29;5.14;7 of 24;29;3.43;7 of 24;29;4.71;6 of 24;25;4.17;6 of 24;25;3.00;6 of 24;25;4.50;6 of 24;25;4.33;6 of 24;25;3.50;7 of 24;29;3.71
?;T6 IT-Security  ;12 of 33;36;5.08;11 of 33;33;5.00;11 of 33;33;4.91;11 of 33;33;4.82;10 of 33;30;3.20;11 of 33;33;5.18;12 of 33;36;2.08;12 of 33;36;4.75;12 of 33;36;4.33;12 of 33;36;4.17;12 of 33;36;3.50
?;T9 Business programming with the .NET framework;9 of 33;27;4.44;9 of 33;27;4.56;9 of 33;27;4.89;9 of 33;27;5.11;9 of 33;27;3.56;9 of 33;27;4.22;8 of 33;24;2.75;9 of 33;27;4.22;9 of 33;27;5.00;9 of 33;27;4.11;9 of 33;27;4.22
?;Target Group Analysis;10 of 19;52;5.00;10 of 19;52;5.00;10 of 19;52;4.90;10 of 19;52;5.40;10 of 19;52;2.50;10 of 19;52;4.50;10 of 19;52;3.50;10 of 19;52;5.20;10 of 19;52;5.60;10 of 19;52;2.70;10 of 19;52;2.30
?;Understanding Interaction Design;7 of 16;43;5.71;7 of 16;43;5.43;7 of 16;43;5.29;7 of 16;43;5.57;7 of 16;43;2.43;7 of 16;43;3.86;7 of 16;43;3.43;7 of 16;43;4.14;7 of 16;43;5.14;7 of 16;43;2.86;7 of 16;43;2.14
?;Usability;13 of 37;35;4.85;13 of 37;35;4.69;13 of 37;35;4.85;13 of 37;35;4.77;13 of 37;35;4.08;13 of 37;35;4.15;13 of 37;35;3.08;13 of 37;35;4.77;13 of 37;35;5.23;13 of 37;35;3.31;13 of 37;35;2.77
KDDK;Basic Graphic Design - group 2;6 of 30;20;6.00;6 of 30;20;5.00;6 of 30;20;5.83;6 of 30;20;5.67;6 of 30;20;3.00;6 of 30;20;3.67;6 of 30;20;3.67;6 of 30;20;3.83;6 of 30;20;4.83;6 of 30;20;4.00;6 of 30;20;2.33
KDDK;Digital Rhetorics ;28 of 71;39;5.36;28 of 71;39;5.43;28 of 71;39;5.18;28 of 71;39;4.11;28 of 71;39;3.79;28 of 71;39;4.79;28 of 71;39;2.43;28 of 71;39;5.39;28 of 71;39;5.14;28 of 71;39;4.57;27 of 71;38;3.74
KDDK;Experimental Design and Analysis;13 of 20;65;4.92;13 of 20;65;5.15;13 of 20;65;4.15;13 of 20;65;5.08;13 of 20;65;2.92;13 of 20;65;5.31;13 of 20;65;1.54;13 of 20;65;4.08;12 of 20;60;4.00;13 of 20;65;3.85;13 of 20;65;3.54
KDDK;Innovation, Concept Development and Project Management;32 of 62;51;3.00;32 of 62;51;2.06;32 of 62;51;4.09;32 of 62;51;3.66;32 of 62;51;4.53;32 of 62;51;2.50;32 of 62;51;4.50;31 of 62;50;2.68;31 of 62;50;5.13;32 of 62;51;4.47;32 of 62;51;4.59
KDDK;Interaction Design;24 of 85;28;5.08;23 of 85;27;4.52;24 of 85;28;4.88;24 of 85;28;5.29;21 of 85;24;2.90;23 of 85;27;4.30;22 of 85;25;3.09;22 of 85;25;5.05;23 of 85;27;4.83;22 of 85;25;4.18;22 of 85;25;2.86
KDDK;Interactive Multimedia (replaces Multimedia Production for the Internet );9 of 36;25;5.89;9 of 36;25;5.78;9 of 36;25;5.00;9 of 36;25;5.89;8 of 36;22;2.00;9 of 36;25;3.78;8 of 36;22;1.62;8 of 36;22;3.50;9 of 36;25;5.11;8 of 36;22;3.75;8 of 36;22;2.62
KDDK;Introduction to Scripting, Databases and System Architecture;39 of 90;43;4.56;39 of 90;43;5.54;39 of 90;43;3.74;39 of 90;43;5.56;38 of 90;42;2.50;39 of 90;43;4.62;38 of 90;42;1.95;39 of 90;43;4.18;39 of 90;43;4.05;39 of 90;43;4.77;39 of 90;43;4.33
KDDK;Introductory 3D;1 of 5;20;3.00;1 of 5;20;3.00;1 of 5;20;4.00;1 of 5;20;2.00;1 of 5;20;4.00;1 of 5;20;3.00;1 of 5;20;3.00;1 of 5;20;3.00;1 of 5;20;3.00;1 of 5;20;4.00;1 of 5;20;4.00
KDDK;Media and Communication;25 of 81;30;4.20;25 of 81;30;4.64;25 of 81;30;4.36;24 of 81;29;3.54;23 of 81;28;4.65;25 of 81;30;5.00;24 of 81;29;2.12;24 of 81;29;5.08;25 of 81;30;4.48;25 of 81;30;5.36;25 of 81;30;5.44
KDDK;Situational Methods for Digital Studies;7 of 14;50;4.57;7 of 14;50;5.00;7 of 14;50;5.00;7 of 14;50;5.43;6 of 14;42;2.50;7 of 14;50;5.57;7 of 14;50;2.86;7 of 14;50;4.86;7 of 14;50;4.71;7 of 14;50;4.57;6 of 14;42;4.33
KDDK;Target Group Analysis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KDDK;Usability with Project;9 of 28;32;4.22;9 of 28;32;3.89;9 of 28;32;4.89;9 of 28;32;5.00;9 of 28;32;2.89;9 of 28;32;4.33;9 of 28;32;2.22;9 of 28;32;3.11;9 of 28;32;4.78;9 of 28;32;4.56;9 of 28;32;3.89
KDDK;Web Design and Web Communication group 1;20 of 67;29;5.70;20 of 67;29;5.55;20 of 67;29;5.20;20 of 67;29;5.65;19 of 67;28;2.63;19 of 67;28;4.37;19 of 67;28;2.58;19 of 67;28;4.84;20 of 67;29;5.15;20 of 67;29;4.30;20 of 67;29;3.00
KDDK;Web Design and Web Communication group 2;7 of 43;16;5.14;7 of 43;16;5.14;7 of 43;16;5.29;7 of 43;16;5.14;7 of 43;16;4.29;7 of 43;16;3.71;7 of 43;16;2.29;7 of 43;16;5.00;7 of 43;16;5.14;7 of 43;16;3.71;7 of 43;16;4.14
KINT;XML-processing - methods, tools and theories;16 of 39;41;5.06;16 of 39;41;5.06;16 of 39;41;5.25;16 of 39;41;5.00;16 of 39;41;3.56;16 of 39;41;4.38;16 of 39;41;3.00;16 of 39;41;4.12;16 of 39;41;5.12;16 of 39;41;4.31;16 of 39;41;3.94
KMTG;Advanced AI in Games;10 of 23;43;5.20;10 of 23;43;5.00;10 of 23;43;4.40;10 of 23;43;4.70;9 of 23;39;3.22;10 of 23;43;4.50;10 of 23;43;3.00;10 of 23;43;3.70;10 of 23;43;5.30;10 of 23;43;3.90;10 of 23;43;3.50
KMTG;Advanced Game Theory                       ;7 of 20;35;4.71;7 of 20;35;4.43;7 of 20;35;4.00;7 of 20;35;2.86;7 of 20;35;3.71;7 of 20;35;4.57;7 of 20;35;2.43;7 of 20;35;4.14;7 of 20;35;5.00;7 of 20;35;3.43;7 of 20;35;2.71
KMTG;Engine Programming   ;12 of 25;48;3.50;12 of 25;48;3.67;12 of 25;48;4.50;12 of 25;48;5.17;12 of 25;48;3.08;12 of 25;48;3.33;12 of 25;48;3.75;12 of 25;48;3.00;12 of 25;48;4.17;12 of 25;48;5.17;12 of 25;48;5.08
KMTG;Experimental Gameplay;15 of 33;45;3.53;15 of 33;45;3.27;15 of 33;45;3.87;15 of 33;45;4.60;15 of 33;45;3.73;15 of 33;45;2.20;15 of 33;45;4.07;15 of 33;45;2.67;15 of 33;45;5.20;15 of 33;45;3.60;15 of 33;45;3.60
KMTG;Game Design    ;23 of 55;41;5.43;23 of 55;41;5.26;23 of 55;41;5.48;23 of 55;41;5.04;23 of 55;41;3.61;23 of 55;41;4.35;23 of 55;41;3.13;23 of 55;41;4.48;23 of 55;41;5.52;23 of 55;41;4.09;23 of 55;41;3.39
KMTG;Game Theory                         ;13 of 33;39;4.38;13 of 33;39;4.69;13 of 33;39;4.08;13 of 33;39;2.92;13 of 33;39;4.15;13 of 33;39;5.15;13 of 33;39;2.77;13 of 33;39;5.08;13 of 33;39;5.38;13 of 33;39;3.62;13 of 33;39;3.46
KMTG;Games and Journalism;7 of 10;70;5.71;7 of 10;70;5.14;7 of 10;70;4.57;7 of 10;70;5.86;6 of 10;60;2.33;7 of 10;70;3.86;7 of 10;70;2.57;7 of 10;70;4.71;7 of 10;70;5.57;7 of 10;70;3.00;7 of 10;70;2.86
KMTG;Gameworlds as Fields for Expression;3 of 3;100;6.00;3 of 3;100;5.00;3 of 3;100;4.67;3 of 3;100;5.33;3 of 3;100;4.33;3 of 3;100;4.67;3 of 3;100;3.67;3 of 3;100;5.67;3 of 3;100;5.00;3 of 3;100;4.00;3 of 3;100;4.33
KSDT;Advanced Algorithms;6 of 17;35;5.17;6 of 17;35;5.67;6 of 17;35;4.50;6 of 17;35;4.17;6 of 17;35;3.33;6 of 17;35;5.33;6 of 17;35;2.83;6 of 17;35;4.33;6 of 17;35;5.33;6 of 17;35;2.67;6 of 17;35;2.33
KSDT;Advanced Mobile and Distributed Systems;4 of 14;28;4.75;4 of 14;28;4.75;4 of 14;28;5.00;4 of 14;28;3.75;4 of 14;28;4.50;4 of 14;28;5.25;4 of 14;28;2.50;4 of 14;28;5.00;4 of 14;28;5.00;4 of 14;28;4.50;4 of 14;28;4.25
KSDT;Database Systems;10 of 40;25;5.30;10 of 40;25;5.10;10 of 40;25;5.40;10 of 40;25;4.40;10 of 40;25;4.30;10 of 40;25;5.00;10 of 40;25;2.00;10 of 40;25;5.20;10 of 40;25;5.40;10 of 40;25;3.80;10 of 40;25;2.70
KSDT;Distributed Collaboration and Development;11 of 15;73;5.00;11 of 15;73;5.09;11 of 15;73;4.64;11 of 15;73;4.18;11 of 15;73;3.27;11 of 15;73;4.64;11 of 15;73;2.09;11 of 15;73;5.00;11 of 15;73;5.00;11 of 15;73;4.18;11 of 15;73;3.55
KSDT;Model Driven Development (formerly Advanced Object Oriented Programming);17 of 42;40;4.24;17 of 42;40;4.59;17 of 42;40;4.00;17 of 42;40;5.06;17 of 42;40;3.12;17 of 42;40;3.53;17 of 42;40;2.88;17 of 42;40;3.82;17 of 42;40;4.65;17 of 42;40;3.35;17 of 42;40;3.06
KSDT;Modelling and Design;9 of 30;30;4.00;9 of 30;30;4.89;9 of 30;30;4.67;9 of 30;30;3.78;9 of 30;30;4.56;9 of 30;30;4.56;9 of 30;30;2.89;8 of 30;26;3.75;9 of 30;30;4.11;9 of 30;30;4.00;9 of 30;30;3.56
KSDT;Performance and Test;20 of 47;42;4.90;20 of 47;42;5.10;20 of 47;42;5.00;20 of 47;42;4.40;20 of 47;42;3.60;20 of 47;42;5.60;20 of 47;42;2.25;20 of 47;42;4.50;20 of 47;42;4.80;20 of 47;42;4.25;20 of 47;42;3.70
KSDT;System Architecture and Security;18 of 44;40;4.33;18 of 44;40;4.17;18 of 44;40;5.17;18 of 44;40;4.67;18 of 44;40;3.72;18 of 44;40;4.17;18 of 44;40;3.17;18 of 44;40;4.17;18 of 44;40;4.67;18 of 44;40;4.83;18 of 44;40;4.56
