Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
?;Advanced IT Project Management;5 of 34;14;5.60;5 of 34;14;5.40;5 of 34;14;5.60;5 of 34;14;5.60;5 of 34;14;2.80;5 of 34;14;4.80;5 of 34;14;3.80;5 of 34;14;4.40;5 of 34;14;5.40;5 of 34;14;4.00;5 of 34;14;3.00
?;Analysis, Design and Software Architecture ;18 of 36;50;4.50;18 of 36;50;4.78;18 of 36;50;4.94;18 of 36;50;4.67;17 of 36;47;3.12;17 of 36;47;5.35;17 of 36;47;2.18;17 of 36;47;4.82;18 of 36;50;4.61;18 of 36;50;5.11;18 of 36;50;5.11
?;B1 Strategic and tactical tools for e-business ;16 of 54;29;4.81;16 of 54;29;5.06;16 of 54;29;5.75;16 of 54;29;4.88;16 of 54;29;4.31;16 of 54;29;4.62;16 of 54;29;2.56;16 of 54;29;4.81;16 of 54;29;5.25;16 of 54;29;4.56;16 of 54;29;4.44
?;B21 Project Management of IT Sourcing ;16 of 37;43;4.50;16 of 37;43;4.75;16 of 37;43;5.31;16 of 37;43;4.94;16 of 37;43;3.56;16 of 37;43;4.25;16 of 37;43;3.44;16 of 37;43;3.62;16 of 37;43;4.56;16 of 37;43;4.69;16 of 37;43;4.69
?;B22 Online marketing - advertising, consumers and communities;10 of 33;30;5.60;10 of 33;30;5.60;10 of 33;30;5.20;10 of 33;30;4.70;10 of 33;30;3.40;10 of 33;30;5.00;10 of 33;30;3.40;10 of 33;30;5.00;10 of 33;30;5.50;10 of 33;30;4.50;10 of 33;30;3.90
?;Basic Graphic Design - group 1;10 of 22;45;3.80;10 of 22;45;4.30;10 of 22;45;4.70;10 of 22;45;4.20;10 of 22;45;4.00;10 of 22;45;3.20;10 of 22;45;4.00;10 of 22;45;4.20;10 of 22;45;4.10;10 of 22;45;2.70;10 of 22;45;1.90
?;Business IT Alignment;33 of 51;64;4.24;33 of 51;64;3.85;33 of 51;64;5.03;33 of 51;64;3.97;32 of 51;62;4.22;32 of 51;62;3.88;32 of 51;62;3.59;33 of 51;64;4.03;32 of 51;62;5.31;33 of 51;64;3.52;33 of 51;64;3.33
?;Business Processes and Organisation;5 of 27;18;4.00;5 of 27;18;3.60;5 of 27;18;4.20;5 of 27;18;4.20;5 of 27;18;3.60;5 of 27;18;5.00;5 of 27;18;2.40;5 of 27;18;4.60;5 of 27;18;3.80;5 of 27;18;4.80;5 of 27;18;4.00
?;Business and Management;38 of 86;44;5.24;38 of 86;44;5.11;38 of 86;44;5.21;38 of 86;44;4.55;37 of 86;43;3.68;37 of 86;43;4.62;37 of 86;43;3.27;38 of 86;44;5.00;38 of 86;44;5.29;38 of 86;44;3.71;38 of 86;44;3.26
?;Concept Development and Interactive Digital Media;2 of 5;40;5.00;2 of 5;40;4.50;2 of 5;40;6.00;2 of 5;40;6.00;2 of 5;40;2.00;2 of 5;40;4.00;2 of 5;40;3.50;2 of 5;40;5.50;2 of 5;40;5.50;2 of 5;40;4.00;2 of 5;40;3.50
?;Data Storage and Formats;18 of 36;50;5.50;18 of 36;50;5.33;18 of 36;50;5.39;18 of 36;50;5.39;18 of 36;50;3.11;18 of 36;50;5.00;18 of 36;50;2.61;17 of 36;47;4.82;18 of 36;50;5.17;17 of 36;47;3.47;18 of 36;50;2.89
?;Design of User Interfaces and Data;7 of 16;43;4.86;7 of 16;43;4.57;7 of 16;43;5.29;7 of 16;43;5.29;6 of 16;37;2.50;7 of 16;43;4.43;7 of 16;43;2.57;7 of 16;43;4.00;7 of 16;43;4.86;7 of 16;43;3.43;7 of 16;43;3.43
?;Dissemination, Project Work and Web Design;39 of 72;54;4.72;38 of 72;52;3.89;39 of 72;54;5.21;38 of 72;52;5.08;35 of 72;48;3.91;38 of 72;52;3.63;37 of 72;51;3.81;38 of 72;52;4.05;38 of 72;52;4.87;38 of 72;52;3.34;37 of 72;51;3.00
?;Distributed Systems and Protocols;17 of 36;47;3.94;17 of 36;47;4.00;17 of 36;47;4.47;17 of 36;47;3.12;17 of 36;47;4.47;17 of 36;47;5.41;16 of 36;44;1.88;16 of 36;44;4.00;17 of 36;47;4.29;16 of 36;44;3.12;17 of 36;47;3.12
