Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KSWU;Database Systems;25 of 47;53;5.20;25 of 47;53;5.36;25 of 47;53;5.08;25 of 47;53;4.04;25 of 47;53;4.00;25 of 47;53;4.92;25 of 47;53;2.24;25 of 47;53;4.16;25 of 47;53;4.76;25 of 47;53;3.76;25 of 47;53;3.24
KSWU;Design and designers;16 of 26;61;4.31;16 of 26;61;4.19;16 of 26;61;5.31;16 of 26;61;5.50;16 of 26;61;2.88;16 of 26;61;4.00;16 of 26;61;3.25;16 of 26;61;4.25;16 of 26;61;5.56;16 of 26;61;4.06;16 of 26;61;4.06
KSWU;Design of user interfaces and data;22 of 53;41;4.18;22 of 53;41;4.50;22 of 53;41;4.41;22 of 53;41;4.95;22 of 53;41;3.50;22 of 53;41;3.55;22 of 53;41;3.86;22 of 53;41;3.14;22 of 53;41;4.86;22 of 53;41;3.59;22 of 53;41;2.95
KSWU;IT strategy;10 of 20;50;3.70;10 of 20;50;3.00;10 of 20;50;4.30;10 of 20;50;3.80;10 of 20;50;4.00;10 of 20;50;2.90;10 of 20;50;4.50;10 of 20;50;3.80;10 of 20;50;4.90;10 of 20;50;3.60;10 of 20;50;3.00
KSWU;IT-project management;11 of 20;55;4.73;11 of 20;55;4.27;11 of 20;55;5.27;11 of 20;55;4.45;11 of 20;55;3.64;11 of 20;55;3.91;11 of 20;55;3.36;11 of 20;55;4.73;11 of 20;55;5.09;11 of 20;55;3.55;11 of 20;55;2.82
KSWU;IT: Platforms and Organisation;27 of 62;43;4.93;27 of 62;43;5.07;27 of 62;43;4.56;27 of 62;43;4.67;27 of 62;43;3.44;27 of 62;43;4.11;27 of 62;43;2.74;27 of 62;43;4.59;27 of 62;43;4.96;27 of 62;43;2.78;27 of 62;43;2.30
KSWU;Introduction to algorithms and data structures;23 of 53;43;5.09;23 of 53;43;5.26;23 of 53;43;4.61;23 of 53;43;3.91;23 of 53;43;3.39;23 of 53;43;5.39;23 of 53;43;2.00;23 of 53;43;4.09;23 of 53;43;4.04;23 of 53;43;4.61;23 of 53;43;4.30
KSWU;Introductory programming;38 of 76;50;5.39;38 of 76;50;5.53;38 of 76;50;5.29;38 of 76;50;5.08;38 of 76;50;3.55;38 of 76;50;4.47;38 of 76;50;2.68;38 of 76;50;3.24;38 of 76;50;5.05;38 of 76;50;4.32;38 of 76;50;3.34
KSWU;Mobile and global user interfaces;11 of 24;45;5.00;11 of 24;45;4.27;11 of 24;45;4.27;11 of 24;45;4.73;11 of 24;45;3.27;11 of 24;45;3.73;11 of 24;45;3.73;11 of 24;45;4.27;11 of 24;45;5.27;11 of 24;45;4.82;11 of 24;45;4.18
KSWU;Object-oriented programming;32 of 63;50;5.66;32 of 63;50;5.59;32 of 63;50;5.25;32 of 63;50;5.19;32 of 63;50;3.34;32 of 63;50;4.50;32 of 63;50;3.06;32 of 63;50;3.88;32 of 63;50;4.97;32 of 63;50;3.75;32 of 63;50;2.88
KSWU;Programmering languages: Interpreters and translators;13 of 24;54;5.62;13 of 24;54;5.69;13 of 24;54;4.85;13 of 24;54;4.38;13 of 24;54;2.08;13 of 24;54;5.46;13 of 24;54;2.38;13 of 24;54;4.54;13 of 24;54;4.69;13 of 24;54;4.46;13 of 24;54;4.15
KSWU;Software Engineering;20 of 40;50;4.80;20 of 40;50;4.60;20 of 40;50;4.85;20 of 40;50;5.30;20 of 40;50;2.50;20 of 40;50;4.10;20 of 40;50;2.80;20 of 40;50;3.75;20 of 40;50;4.75;20 of 40;50;5.60;20 of 40;50;5.35
KTIT;Databases;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Design in an Organizational Context;2 of 5;40;5.50;2 of 5;40;5.00;2 of 5;40;5.00;2 of 5;40;6.00;2 of 5;40;1.00;2 of 5;40;2.50;2 of 5;40;3.50;2 of 5;40;4.50;2 of 5;40;5.50;2 of 5;40;4.50;2 of 5;40;4.00
KTIT;Distributed Systems;2 of 3;66;5.00;2 of 3;66;5.00;2 of 3;66;5.00;2 of 3;66;5.00;2 of 3;66;3.00;2 of 3;66;4.00;2 of 3;66;3.00;2 of 3;66;4.50;2 of 3;66;5.00;2 of 3;66;4.50;2 of 3;66;4.00
KTIT;Interactive Systems and Project Management;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Introduction to Programming;4 of 4;100;4.25;4 of 4;100;5.00;4 of 4;100;3.00;4 of 4;100;5.00;4 of 4;100;3.25;4 of 4;100;3.75;4 of 4;100;3.00;4 of 4;100;3.75;4 of 4;100;4.75;4 of 4;100;3.75;4 of 4;100;3.00
KTIT;Object Oriented Programming;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
KTIT;Paradigms of Programming;1 of 2;50;6.00;1 of 2;50;5.00;1 of 2;50;6.00;1 of 2;50;3.00;1 of 2;50;1.00;1 of 2;50;2.00;1 of 2;50;6.00;1 of 2;50;4.00;1 of 2;50;6.00;1 of 2;50;1.00;1 of 2;50;1.00
KTIT;Tools and Concepts in Programming;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UL;Advanced multimedia production at the Internet;13 of 29;44;4.92;13 of 29;44;5.46;13 of 29;44;4.92;13 of 29;44;5.38;13 of 29;44;2.69;13 of 29;44;3.38;13 of 29;44;3.31;13 of 29;44;4.77;13 of 29;44;4.77;13 of 29;44;3.08;13 of 29;44;3.23
UL;Basic Graphic Design;12 of 27;44;5.00;12 of 27;44;4.83;12 of 27;44;5.33;12 of 27;44;5.58;12 of 27;44;3.25;12 of 27;44;2.67;12 of 27;44;4.25;12 of 27;44;3.25;12 of 27;44;5.33;12 of 27;44;4.83;12 of 27;44;4.17
UL;Basic Web Design;27 of 57;47;5.44;27 of 57;47;5.37;27 of 57;47;5.00;27 of 57;47;5.30;27 of 57;47;3.26;27 of 57;47;3.63;27 of 57;47;3.33;27 of 57;47;4.22;27 of 57;47;5.00;27 of 57;47;3.96;27 of 57;47;3.56
UL;Computability and Semantics;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UL;Database Systems;9 of 20;45;5.00;9 of 20;45;5.56;9 of 20;45;4.78;9 of 20;45;4.11;9 of 20;45;4.11;9 of 20;45;5.22;9 of 20;45;2.00;9 of 20;45;4.44;9 of 20;45;4.67;9 of 20;45;3.44;9 of 20;45;3.00
UL;IS and IT Strategy;11 of 36;30;4.27;11 of 36;30;4.36;11 of 36;30;4.55;11 of 36;30;4.55;11 of 36;30;3.82;11 of 36;30;3.27;11 of 36;30;3.45;11 of 36;30;4.36;11 of 36;30;5.18;11 of 36;30;3.00;11 of 36;30;2.91
