Programme;Course;q1 replies;q1  % ;q1 average;q2 replies;q2  % ;q2 average;q3 replies;q3  % ;q3 average;q4 replies;q4  % ;q4 average;q5 replies;q5  % ;q5 average;q6 replies;q6  % ;q6 average;q7 replies;q7  % ;q7 average;q8 replies;q8  % ;q8 average;q9 replies;q9  % ;q9 average;q10 replies;q10  % ;q10 average;q11 replies;q11  % ;q11 average
KDKM;3D WEB/CAD;8 of 9;88;4.50;8 of 9;88;4.62;8 of 9;88;4.62;8 of 9;88;5.88;8 of 9;88;2.00;8 of 9;88;3.00;8 of 9;88;2.62;8 of 9;88;3.12;8 of 9;88;5.50;8 of 9;88;3.62;8 of 9;88;3.75
KDKM;3D-begynder;11 of 20;55;5.36;11 of 20;55;5.82;11 of 20;55;4.36;11 of 20;55;6.00;11 of 20;55;1.73;11 of 20;55;3.09;11 of 20;55;2.64;11 of 20;55;2.91;11 of 20;55;4.91;11 of 20;55;3.82;11 of 20;55;2.91
KDKM;Avanceret webdesign;25 of 42;59;4.72;25 of 42;59;3.80;25 of 42;59;4.72;25 of 42;59;5.56;25 of 42;59;2.56;25 of 42;59;2.36;25 of 42;59;3.24;25 of 42;59;3.12;25 of 42;59;5.12;25 of 42;59;3.64;25 of 42;59;2.48
KDKM;Databasebaseret webpublicering;18 of 27;66;5.89;18 of 27;66;5.72;18 of 27;66;5.33;18 of 27;66;5.72;18 of 27;66;2.28;18 of 27;66;4.00;18 of 27;66;2.83;18 of 27;66;4.33;18 of 27;66;5.17;18 of 27;66;3.89;18 of 27;66;2.72
KDKM;Digital designhistorie;10 of 24;41;5.30;10 of 24;41;5.00;10 of 24;41;5.10;10 of 24;41;3.20;10 of 24;41;3.70;10 of 24;41;5.10;10 of 24;41;3.00;10 of 24;41;5.40;10 of 24;41;4.80;10 of 24;41;2.80;10 of 24;41;2.20
KDKM;Editing of Sound;9 of 17;52;5.11;9 of 17;52;4.67;9 of 17;52;4.78;9 of 17;52;4.67;9 of 17;52;4.56;9 of 17;52;3.89;9 of 17;52;3.56;9 of 17;52;3.56;9 of 17;52;5.44;9 of 17;52;4.00;9 of 17;52;2.78
KDKM;Editing of Video and Sound;12 of 21;57;4.50;12 of 21;57;3.83;12 of 21;57;4.33;12 of 21;57;3.75;12 of 21;57;5.33;12 of 21;57;4.33;12 of 21;57;3.42;12 of 21;57;4.00;12 of 21;57;5.17;12 of 21;57;3.42;12 of 21;57;2.75
KDKM;Grafisk design 1;13 of 26;50;4.92;13 of 26;50;4.00;13 of 26;50;4.85;13 of 26;50;5.15;13 of 26;50;2.77;13 of 26;50;3.23;13 of 26;50;3.31;13 of 26;50;3.85;13 of 26;50;5.23;13 of 26;50;3.15;13 of 26;50;2.69
KDKM;Grundl&aelig;ggende webdesign;26 of 53;49;5.12;26 of 53;49;4.88;26 of 53;49;5.42;26 of 53;49;5.19;26 of 53;49;3.81;26 of 53;49;3.19;26 of 53;49;4.54;26 of 53;49;4.92;26 of 53;49;5.04;26 of 53;49;3.96;26 of 53;49;3.50
KDKM;IT-tilg&aelig;ngelighed;1 of 4;25;6.00;1 of 4;25;5.00;1 of 4;25;4.00;1 of 4;25;5.00;1 of 4;25;3.00;1 of 4;25;2.00;1 of 4;25;5.00;1 of 4;25;3.00;1 of 4;25;5.00;1 of 4;25;2.00;1 of 4;25;3.00
